asset_id	title_zh_cn	title_en	summary_zh_cn	summary_en	type	status	start_date	end_date	gsd_min_m	gsd_max_m	cadence	provider	bands	categories	keywords	bbox	license	source_url
LANDSAT/COMPOSITES/C02/T1_L2_ANNUAL_NDWI	Landsat Collection 2 Tier 1 Level 2 年度 NDWI 合成影像	Landsat Collection 2 Tier 1 Level 2 Annual NDWI Composite	这些 Landsat Collection 2 Tier 1 Level 2 合成影像由 Tier 1 Level 2 正射校正后的场景生成。归一化差值水体指数 (NDWI) 旨在描绘开阔水域特征，增强其在影像中的呈现效果，同时消除土壤和陆地植被特征。它源自绿色…	These Landsat Collection 2 Tier 1 Level 2 composites are made from Tier 1 Level 2 orthorectified scenes. The Normalized Difference Water Index (NDWI) is designed to delineate open water features and enhance their presence in imagery while eliminating soil and terrestrial vegetation features. It …	image_collection	ready	1984-01-01	2026-01-01	30.0	30.0	1 year cadence	USGS	NDWI	surface-ground-water	landsat, landsat-composite, ndwi, surface-ground-water, usgs	-180.0, -90.0, 180.0, 90.0	proprietary	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_ANNUAL_NDWI
LANDSAT/GLS1975	Landsat 全球陆地调查 1975 年	Landsat Global Land Survey 1975	1975 年全球土地调查 (GLS) 是 Landsat 多光谱扫描仪 (MSS) 拍摄的全球图像集。大多数场景由 Landsat 1-3 在 1972 年至 1983 年期间获取。Landsat 1-3 数据中的一些空白已由 Landsat 4-5 在 1982-1987 年间获取的场景填充。这些数据…	The Global Land Survey (GLS) 1975 is a global collection of imagery from the Landsat Multispectral Scanner (MSS). Most scenes were acquired by Landsat 1-3 in 1972-1983. A few gaps in the Landsat 1-3 data have been filled with scenes acquired by Landsat 4-5 during …	image_collection	ready	1972-07-25	1983-02-20	60.0	60.0		USGS	10, 20, 30, 40	satellite-imagery	global, gls, landsat, radiance, satellite-imagery, usgs	-180.0, -90.0, 180.0, 90.0	proprietary	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_GLS1975
LANDSAT/GLS1975_MOSAIC	Landsat Global Land Survey 1975 Mosaic	Landsat Global Land Survey 1975 Mosaic	The Global Land Survey (GLS) 1975 is a global collection of imagery from the Landsat Multispectral Scanner (MSS). Most scenes were acquired by Landsat 1&ndash;3 during the years from 1972&ndash;1983. A few gaps in the Landsat 1&ndash;3 data have been filled with scenes acquired by Landsat 4&ndash;5 during the years 1982&ndash;1987. These data contain 4 spectral bands: Green, Red, an NIR band, and a SWIR band. In the typical false-color presentation the images appear red because the NIR band, displayed as red, highlights vegetation. All scenes in the collection are included in this composite image.	The Global Land Survey (GLS) 1975 is a global collection of imagery from the Landsat Multispectral Scanner (MSS). Most scenes were acquired by Landsat 1&ndash;3 during the years from 1972&ndash;1983. A few gaps in the Landsat 1&ndash;3 data have been filled with scenes acquired by Landsat 4&ndash;5 during the years 1982&ndash;1987. These data contain 4 spectral bands: Green, Red, an NIR band, and a SWIR band. In the typical false-color presentation the images appear red because the NIR band, displayed as red, highlights vegetation. All scenes in the collection are included in this composite image.	image_collection	ready	1975-01-01	1976-01-01	60.0	60.0	1 year cadence	USGS	10, 20, 30, 40	satellite-imagery	gls, landsat, radiance, satellite-imagery, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_GLS1975_MOSAIC
LANDSAT/GLS2005	Landsat 全球陆地调查 2005 年，Landsat 5+7 场景	Landsat Global Land Survey 2005, Landsat 5+7 scenes	GLS2005 数据集包含 9500 幅经过正射校正的叶片生长期中分辨率卫星图像，这些图像收集于 2004 年至 2007 年之间，涵盖地球的陆地区域。GLS2005 主要使用 Landsat 5 和填充缺口的 Landsat 7 数据，并使用 EO-1 ALI 和 Terra ASTER 数据填充任何数据缺口。此数据集包含…	The GLS2005 data set is a collection of 9500 orthorectified leaf-on medium-resolution satellite images collected between 2004 and 2007 and covering the Earth's land masses. GLS2005 uses mainly Landsat 5 and gap-filled Landsat 7 data with EO-1 ALI and Terra ASTER data filling in any …	image_collection	ready	2003-07-29	2008-07-29	30.0	30.0		USGS	10, 20, 30, 40, 50, 70	satellite-imagery	gls, landsat, radiance, satellite-imagery, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_GLS2005
LANDSAT/GLS2005_L5	Landsat 全球陆地调查 2005 年，Landsat 5 场景	Landsat Global Land Survey 2005, Landsat 5 scenes	GLS2005 数据集包含 9500 幅经过正射校正的叶片生长期中分辨率卫星图像，这些图像收集于 2004 年至 2007 年之间，涵盖地球的陆地区域。GLS2005 主要使用 Landsat 5 和填充缺口的 Landsat 7 数据，并使用 EO-1 ALI 和 Terra ASTER 数据填充任何数据缺口。此集合包含…	The GLS2005 data set is a collection of 9500 orthorectified leaf-on medium-resolution satellite images collected between 2004 and 2007 and covering the Earth's land masses. GLS2005 uses mainly Landsat 5 and gap-filled Landsat 7 data with EO-1 ALI and Terra ASTER data filling in any …	image_collection	ready	2003-08-14	2008-05-29	30.0	60.0		USGS	10, 20, 30, 40, 50, 60, 70	satellite-imagery	etm, gls, l5, landsat, radiance, satellite-imagery, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_GLS2005_L5
LANDSAT/GLS2005_L7	Landsat 全球陆地调查 2005 年，Landsat 7 场景	Landsat Global Land Survey 2005, Landsat 7 scenes	GLS2005 数据集包含 9500 幅经过正射校正的叶片生长期中分辨率卫星图像，这些图像收集于 2004 年至 2007 年之间，涵盖地球的陆地区域。GLS2005 主要使用 Landsat 5 和填充缺口的 Landsat 7 数据，并使用 EO-1 ALI 和 Terra ASTER 数据填充任何数据缺口。此集合包含…	The GLS2005 data set is a collection of 9500 orthorectified leaf-on medium-resolution satellite images collected between 2004 and 2007 and covering the Earth's land masses. GLS2005 uses mainly Landsat 5 and gap-filled Landsat 7 data with EO-1 ALI and Terra ASTER data filling in any …	image_collection	ready	2003-07-29	2008-07-29	30.0	60.0		USGS	10, 20, 30, 40, 50, 60, 70	satellite-imagery	etm, gls, l7, landsat, radiance, satellite-imagery, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_GLS2005_L7
LANDSAT/LC08/C02/T1	USGS Landsat 8 Collection 2 Tier 1 原始场景	USGS Landsat 8 Collection 2 Tier 1 Raw Scenes	Landsat 8 集合 2 第 1 层级 DN 值，表示经过缩放和校准的传感器端辐射度。数据质量最高的 Landsat 场景会被划分到第 1 层级，并且被视为适合进行时间序列处理分析。第 1 层级包括经过处理的第 1 级精确地形 (L1TP) 数据，这些数据具有良好的辐射特性，并且经过了内部校准…	Landsat 8 Collection 2 Tier 1 DN values, representing scaled, calibrated at-sensor radiance. Landsat scenes with the highest available data quality are placed into Tier 1 and are considered suitable for time-series processing analysis. Tier 1 includes Level-1 Precision Terrain (L1TP) processed data that have …	image_collection	ready	2013-03-18	2026-07-15	15.0	30.0	16 day revisit_interval	USGS	B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, QA_PIXEL, QA_RADSAT, SAA, SZA, VAA, VZA	satellite-imagery	c2, global, l8, landsat, lc8, oli-tirs, radiance, satellite-imagery, t1, tier1, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC08_C02_T1
LANDSAT/LC08/C02/T1_L2	USGS Landsat 8 Level 2, Collection 2, Tier 1	USGS Landsat 8 Level 2, Collection 2, Tier 1	此数据集包含根据 Landsat 8 OLI/TIRS 传感器生成的数据派生出的经过大气校正的地表反射率和地表温度。这些图像包含 5 个可见光和近红外 (VNIR) 波段和 2 个短波红外 (SWIR) 波段，这些波段均已处理为正射校正的表面反射率，以及 1 个热红外 (TIR) 波段，该波段已处理为…	This dataset contains atmospherically corrected surface reflectance and land surface temperature derived from the data produced by the Landsat 8 OLI/TIRS sensors. These images contain 5 visible and near-infrared (VNIR) bands and 2 short-wave infrared (SWIR) bands processed to orthorectified surface reflectance, and one thermal …	image_collection	ready	2013-03-18	2026-07-10	30.0	30.0	16 day revisit_interval	USGS	SR_B1, SR_B2, SR_B3, SR_B4, SR_B5, SR_B6, SR_B7, SR_QA_AEROSOL, ST_B10, ST_ATRAN, ST_CDIST, ST_DRAD, ST_EMIS, ST_EMSD, ST_QA, ST_TRAD, ST_URAD, QA_PIXEL, QA_RADSAT	satellite-imagery	cfmask, cloud, fmask, global, l8sr, landsat, lasrc, lc08, lst, reflectance, satellite-imagery, sr, usgs	-180.0, -90.0, 180.0, 90.0	proprietary	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC08_C02_T1_L2
LANDSAT/LC08/C02/T1_RT	USGS Landsat 8 Collection 2 Tier 1 和实时数据原始场景	USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes	Landsat 8 Collection 2 Tier 1 和实时数据的数字值，表示经过缩放和校准的传感器发射亮度。数据质量最高的 Landsat 场景会被划分到第 1 层级，并且被视为适合进行时间序列处理分析。第 1 层级包括具有良好辐射特性的 Level-1 Precision Terrain (L1TP) 处理数据…	Landsat 8 Collection 2 Tier 1 and Real-Time data DN values, representing scaled, calibrated at-sensor radiance. Landsat scenes with the highest available data quality are placed into Tier 1 and are considered suitable for time-series processing analysis. Tier 1 includes Level-1 Precision Terrain (L1TP) processed …	image_collection	ready	2013-03-18	2026-07-18	15.0	30.0	16 day revisit_interval	USGS	B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, QA_PIXEL, QA_RADSAT, SAA, SZA, VAA, VZA	satellite-imagery	c2, global, l8, landsat, lc8, nrt, oli-tirs, radiance, rt, satellite-imagery, t1, tier1, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC08_C02_T1_RT
LANDSAT/LC08/C02/T1_RT_TOA	USGS Landsat 8 Collection 2 Tier 1 和实时数据的大气表观反射率	USGS Landsat 8 Collection 2 Tier 1 and Real-Time data TOA Reflectance	Landsat 8 集合 2 Tier 1 和实时数据校准的顶层大气 (TOA) 反射率。校准系数会从图片元数据中提取。如需详细了解 TOA 计算，请参阅 Chander 等人 (2009) 的论文。数据质量最高的 Landsat 图像被划分为第 1 层级，适用于以下用途：	Landsat 8 Collection 2 Tier 1 and Real-Time data calibrated top-of-atmosphere (TOA) reflectance. Calibration coefficients are extracted from the image metadata. See Chander et al. (2009) for details on the TOA computation. Landsat scenes with the highest available data quality are placed into Tier 1 …	image_collection	ready	2013-03-18	2026-07-18	15.0	30.0	16 day revisit_interval	USGS/Google	B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, QA_PIXEL, QA_RADSAT, SAA, SZA, VAA, VZA	satellite-imagery	c2, global, l8, landsat, lc8, satellite-imagery, toa, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC08_C02_T1_RT_TOA
LANDSAT/LC08/C02/T1_TOA	USGS Landsat 8 Collection 2 Tier 1 TOA 反射率	USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance	Landsat 8 集合 2 第 1 层级校准的对流层顶 (TOA) 反射率。校准系数会从图片元数据中提取。如需详细了解 TOA 计算，请参阅 Chander 等人 (2009) 的论文。数据质量最高的 Landsat 场景会被划分到第 1 层级，并且被视为适合进行时间序列处理分析。…	Landsat 8 Collection 2 Tier 1 calibrated top-of-atmosphere (TOA) reflectance. Calibration coefficients are extracted from the image metadata. See Chander et al. (2009) for details on the TOA computation. Landsat scenes with the highest available data quality are placed into Tier 1 and are considered …	image_collection	ready	2013-03-18	2026-07-15	15.0	30.0	16 day revisit_interval	USGS/Google	B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, QA_PIXEL, QA_RADSAT, SAA, SZA, VAA, VZA	satellite-imagery	c2, global, landsat, satellite-imagery, toa, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC08_C02_T1_TOA
LANDSAT/LC08/C02/T2	USGS Landsat 8 Collection 2 Tier 2 原始场景	USGS Landsat 8 Collection 2 Tier 2 Raw Scenes	Landsat 8 集合 2 第 2 层级 DN 值，表示经过缩放和校准的传感器端辐射度。在处理过程中，如果场景不符合第 1 层级的条件，则会被分配到第 2 层级。这包括系统地形 (L1GT) 和系统 (L1GS) 处理的场景，以及不符合第 1 层级规范的任何 L1TP 场景…	Landsat 8 Collection 2 Tier 2 DN values, representing scaled, calibrated at-sensor radiance. Scenes not meeting Tier 1 criteria during processing are assigned to Tier 2. This includes Systematic terrain (L1GT) and Systematic (L1GS) processed scenes, as well as any L1TP scenes that do not …	image_collection	ready	2021-10-28	2026-07-15	15.0	30.0	16 day revisit_interval	USGS	B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, QA_PIXEL, QA_RADSAT, SAA, SZA, VAA, VZA	satellite-imagery	c2, global, l8, landsat, lc8, oli-tirs, radiance, satellite-imagery, t2, tier2, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC08_C02_T2
LANDSAT/LC08/C02/T2_L2	USGS Landsat 8 第 2 级、集合 2、层级 2	USGS Landsat 8 Level 2, Collection 2, Tier 2	此数据集包含根据 Landsat 8 OLI/TIRS 传感器生成的数据派生出的经过大气校正的地表反射率和地表温度。这些图像包含 5 个可见光和近红外 (VNIR) 波段和 2 个短波红外 (SWIR) 波段，这些波段均已处理为正射校正的表面反射率，以及 1 个热红外 (TIR) 波段，该波段已处理为…	This dataset contains atmospherically corrected surface reflectance and land surface temperature derived from the data produced by the Landsat 8 OLI/TIRS sensors. These images contain 5 visible and near-infrared (VNIR) bands and 2 short-wave infrared (SWIR) bands processed to orthorectified surface reflectance, and one thermal …	image_collection	ready	2013-03-18	2026-07-10	30.0	30.0	16 day revisit_interval	USGS	SR_B1, SR_B2, SR_B3, SR_B4, SR_B5, SR_B6, SR_B7, SR_QA_AEROSOL, ST_B10, ST_ATRAN, ST_CDIST, ST_DRAD, ST_EMIS, ST_EMSD, ST_QA, ST_TRAD, ST_URAD, QA_PIXEL, QA_RADSAT	satellite-imagery	cfmask, cloud, fmask, global, l8sr, landsat, lasrc, lc08, lst, reflectance, satellite-imagery, sr, usgs	-180.0, -90.0, 180.0, 90.0	proprietary	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC08_C02_T2_L2
LANDSAT/LC08/C02/T2_TOA	USGS Landsat 8 Collection 2 Tier 2 TOA 反射率	USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance	Landsat 8 集合 2 第 2 层级校准的对流层顶 (TOA) 反射率。校准系数会从图片元数据中提取。如需详细了解 TOA 计算，请参阅 Chander 等人 (2009) 的论文。在处理过程中，如果场景不符合第 1 层级的条件，则会被分配到第 2 层级。这包括系统地形 (L1GT) 和系统 (L1GS) …	Landsat 8 Collection 2 Tier 2 calibrated top-of-atmosphere (TOA) reflectance. Calibration coefficients are extracted from the image metadata. See Chander et al. (2009) for details on the TOA computation. Scenes not meeting Tier 1 criteria during processing are assigned to Tier 2. This includes Systematic …	image_collection	ready	2021-10-28	2026-07-15	15.0	30.0	16 day revisit_interval	USGS/Google	B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, QA_PIXEL, QA_RADSAT, SAA, SZA, VAA, VZA	satellite-imagery	c2, global, landsat, satellite-imagery, toa, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC08_C02_T2_TOA
LANDSAT/LC09/C02/T1	USGS Landsat 9 Collection 2 Tier 1 原始场景	USGS Landsat 9 Collection 2 Tier 1 Raw Scenes	Landsat 9 集合 2 第 1 层级数字值，表示经过缩放和校准的传感器端辐射度。数据质量最高的 Landsat 场景会被划分到第 1 层级，并且被视为适合进行时间序列处理分析。第 1 层级包括经过处理的第 1 级精确地形 (L1TP) 数据，这些数据具有良好的辐射特性，并且经过了内部校准…	Landsat 9 Collection 2 Tier 1 DN values, representing scaled, calibrated at-sensor radiance. Landsat scenes with the highest available data quality are placed into Tier 1 and are considered suitable for time-series processing analysis. Tier 1 includes Level-1 Precision Terrain (L1TP) processed data that have …	image_collection	ready	2021-10-31	2026-07-18	15.0	30.0	16 day revisit_interval	USGS	B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, QA_PIXEL, QA_RADSAT, SAA, SZA, VAA, VZA	satellite-imagery	c2, global, l9, landsat, lc9, oli-tirs, radiance, satellite-imagery, t1, tier1, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC09_C02_T1
LANDSAT/LC09/C02/T1_L2	USGS Landsat 9 Level 2，Collection 2，Tier 1	USGS Landsat 9 Level 2, Collection 2, Tier 1	此数据集包含从 Landsat 9 OLI/TIRS 传感器生成的数据派生出的经过大气校正的地表反射率和地表温度。这些图像包含 5 个可见光和近红外 (VNIR) 波段和 2 个短波红外 (SWIR) 波段，这些波段均已处理为正射校正的表面反射率，以及 1 个热红外 (TIR) 波段，该波段已处理为…	This dataset contains atmospherically corrected surface reflectance and land surface temperature derived from the data produced by the Landsat 9 OLI/TIRS sensors. These images contain 5 visible and near-infrared (VNIR) bands and 2 short-wave infrared (SWIR) bands processed to orthorectified surface reflectance, and one thermal …	image_collection	ready	2021-10-31	2026-07-16	30.0	30.0	16 day revisit_interval	USGS	SR_B1, SR_B2, SR_B3, SR_B4, SR_B5, SR_B6, SR_B7, SR_QA_AEROSOL, ST_B10, ST_ATRAN, ST_CDIST, ST_DRAD, ST_EMIS, ST_EMSD, ST_QA, ST_TRAD, ST_URAD, QA_PIXEL, QA_RADSAT	satellite-imagery	cfmask, cloud, fmask, global, l9sr, landsat, lasrc, lc09, lst, reflectance, satellite-imagery, sr, usgs	-180.0, -90.0, 180.0, 90.0	proprietary	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC09_C02_T1_L2
LANDSAT/LC09/C02/T1_TOA	USGS Landsat 9 Collection 2 Tier 1 TOA 反射率	USGS Landsat 9 Collection 2 Tier 1 TOA Reflectance	Landsat 9 集合 2 第 1 层级校准的对流层顶 (TOA) 反射率。校准系数会从图片元数据中提取。如需详细了解 TOA 计算，请参阅 Chander 等人 (2009) 的论文。数据质量最高的 Landsat 场景会被划分到第 1 层级，并且被视为适合进行时间序列处理分析。…	Landsat 9 Collection 2 Tier 1 calibrated top-of-atmosphere (TOA) reflectance. Calibration coefficients are extracted from the image metadata. See Chander et al. (2009) for details on the TOA computation. Landsat scenes with the highest available data quality are placed into Tier 1 and are considered …	image_collection	ready	2021-10-31	2026-07-18	15.0	30.0	16 day revisit_interval	USGS/Google	B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, QA_PIXEL, QA_RADSAT, SAA, SZA, VAA, VZA	satellite-imagery	c2, global, landsat, satellite-imagery, toa, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC09_C02_T1_TOA
LANDSAT/LC09/C02/T2	USGS Landsat 9 Collection 2 Tier 2 原始场景	USGS Landsat 9 Collection 2 Tier 2 Raw Scenes	Landsat 9 集合 2 第 2 层级数字值，表示经过缩放和校准的传感器端辐射度。在处理过程中，如果场景不符合第 1 层级的条件，则会被分配到第 2 层级。这包括系统地形 (L1GT) 和系统 (L1GS) 处理的场景，以及不符合第 1 层级规范的任何 L1TP 场景…	Landsat 9 Collection 2 Tier 2 DN values, representing scaled, calibrated at-sensor radiance. Scenes not meeting Tier 1 criteria during processing are assigned to Tier 2. This includes Systematic terrain (L1GT) and Systematic (L1GS) processed scenes, as well as any L1TP scenes that do not …	image_collection	ready	2021-11-02	2026-07-18	15.0	30.0	16 day revisit_interval	USGS	B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, QA_PIXEL, QA_RADSAT, SAA, SZA, VAA, VZA	satellite-imagery	c2, global, l9, landsat, lc9, oli-tirs, radiance, satellite-imagery, t2, tier2, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC09_C02_T2
LANDSAT/LC09/C02/T2_L2	USGS Landsat 9 Level 2、Collection 2、Tier 2	USGS Landsat 9 Level 2, Collection 2, Tier 2	此数据集包含从 Landsat 9 OLI/TIRS 传感器生成的数据派生出的经过大气校正的地表反射率和地表温度。这些图像包含 5 个可见光和近红外 (VNIR) 波段和 2 个短波红外 (SWIR) 波段，这些波段均已处理为正射校正的表面反射率，以及 1 个热红外 (TIR) 波段，该波段已处理为…	This dataset contains atmospherically corrected surface reflectance and land surface temperature derived from the data produced by the Landsat 9 OLI/TIRS sensors. These images contain 5 visible and near-infrared (VNIR) bands and 2 short-wave infrared (SWIR) bands processed to orthorectified surface reflectance, and one thermal …	image_collection	ready	2021-10-31	2026-07-16	30.0	30.0	16 day revisit_interval	USGS	SR_B1, SR_B2, SR_B3, SR_B4, SR_B5, SR_B6, SR_B7, SR_QA_AEROSOL, ST_B10, ST_ATRAN, ST_CDIST, ST_DRAD, ST_EMIS, ST_EMSD, ST_QA, ST_TRAD, ST_URAD, QA_PIXEL, QA_RADSAT	satellite-imagery	cfmask, cloud, fmask, global, l9sr, landsat, lasrc, lc09, lst, reflectance, satellite-imagery, sr, usgs	-180.0, -90.0, 180.0, 90.0	proprietary	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC09_C02_T2_L2
LANDSAT/LC09/C02/T2_TOA	USGS Landsat 9 Collection 2 Tier 2 TOA 反射率	USGS Landsat 9 Collection 2 Tier 2 TOA Reflectance	Landsat 9 集合 2 第 2 层级校准的对流层顶 (TOA) 反射率。校准系数会从图片元数据中提取。如需详细了解 TOA 计算，请参阅 Chander 等人 (2009) 的论文。在处理过程中，如果场景不符合第 1 层级的条件，则会被分配到第 2 层级。这包括系统地形 (L1GT) 和系统 (L1GS) …	Landsat 9 Collection 2 Tier 2 calibrated top-of-atmosphere (TOA) reflectance. Calibration coefficients are extracted from the image metadata. See Chander et al. (2009) for details on the TOA computation. Scenes not meeting Tier 1 criteria during processing are assigned to Tier 2. This includes Systematic …	image_collection	ready	2021-11-02	2026-07-18	15.0	30.0	16 day revisit_interval	USGS/Google	B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, QA_PIXEL, QA_RADSAT, SAA, SZA, VAA, VZA	satellite-imagery	c2, global, l9, landsat, lc9, satellite-imagery, toa, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC09_C02_T2_TOA
LANDSAT/LE07/C02/T1	USGS Landsat 7 Collection 2 Tier 1 原始场景	USGS Landsat 7 Collection 2 Tier 1 Raw Scenes	Landsat 7 集合 2 第 1 层级数字值，表示经过缩放和校准的传感器端辐射度。数据质量最高的 Landsat 场景会被划分到第 1 层级，并且被视为适合进行时间序列处理分析。第 1 层级包括经过处理的第 1 级精确地形 (L1TP) 数据，这些数据具有良好的辐射特性，并且经过了内部校准…	Landsat 7 Collection 2 Tier 1 DN values, representing scaled, calibrated at-sensor radiance. Landsat scenes with the highest available data quality are placed into Tier 1 and are considered suitable for time-series processing analysis. Tier 1 includes Level-1 Precision Terrain (L1TP) processed data that have …	image_collection	ready	1999-05-28	2024-01-19	15.0	60.0	16 day revisit_interval	USGS	B1, B2, B3, B4, B5, B6_VCID_1, B6_VCID_2, B7, B8, QA_PIXEL, QA_RADSAT, SAA, SZA, VAA, VZA	satellite-imagery	c2, etm, global, l7, landsat, le7, radiance, satellite-imagery, t1, tier1, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LE07_C02_T1
LANDSAT/LE07/C02/T1_L2	USGS Landsat 7 Level 2，Collection 2，Tier 1	USGS Landsat 7 Level 2, Collection 2, Tier 1	此数据集包含从 Landsat 7 ETM+ 传感器生成的数据派生出的经过大气校正的地表反射率和地表温度。这些图像包含 4 个可见光和近红外 (VNIR) 波段、2 个短波红外 (SWIR) 波段（已处理为正射校正的表面反射率）和 1 个热红外 (TIR) 波段（已处理为…	This dataset contains atmospherically corrected surface reflectance and land surface temperature derived from the data produced by the Landsat 7 ETM+ sensor. These images contain 4 visible and near-infrared (VNIR) bands and 2 short-wave infrared (SWIR) bands processed to orthorectified surface reflectance, and one thermal …	image_collection	ready	1999-05-28	2024-01-19	30.0	30.0	16 day revisit_interval	USGS	SR_B1, SR_B2, SR_B3, SR_B4, SR_B5, SR_B7, SR_ATMOS_OPACITY, SR_CLOUD_QA, ST_B6, ST_ATRAN, ST_CDIST, ST_DRAD, ST_EMIS, ST_EMSD, ST_QA, ST_TRAD, ST_URAD, QA_PIXEL, QA_RADSAT	satellite-imagery	cfmask, cloud, etm, fmask, global, landsat, lasrc, le07, lst, reflectance, satellite-imagery, sr, usgs	-180.0, -90.0, 180.0, 90.0	proprietary	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LE07_C02_T1_L2
LANDSAT/LE07/C02/T1_RT	USGS Landsat 7 Collection 2 Tier 1 和实时数据原始场景	USGS Landsat 7 Collection 2 Tier 1 and Real-Time data Raw Scenes	Landsat 7 Collection 2 Tier 1 和实时数据 DN 值，表示经过缩放和校准的传感器发射亮度。数据质量最高的 Landsat 场景会被划分到第 1 层级，并且被视为适合进行时间序列处理分析。第 1 层级包括具有良好辐射特性的 Level-1 Precision Terrain (L1TP) 处理数据…	Landsat 7 Collection 2 Tier 1 and Real-Time data DN values, representing scaled, calibrated at-sensor radiance. Landsat scenes with the highest available data quality are placed into Tier 1 and are considered suitable for time-series processing analysis. Tier 1 includes Level-1 Precision Terrain (L1TP) processed …	image_collection	ready	1999-05-28	2024-01-19	15.0	60.0	16 day revisit_interval	USGS	B1, B2, B3, B4, B5, B6_VCID_1, B6_VCID_2, B7, B8, QA_PIXEL, QA_RADSAT, SAA, SZA, VAA, VZA	satellite-imagery	c2, etm, global, l7, landsat, le7, nrt, radiance, rt, satellite-imagery, t1, tier1, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LE07_C02_T1_RT
LANDSAT/LE07/C02/T1_RT_TOA	USGS Landsat 7 Collection 2 Tier 1 和实时数据的大气表观反射率	USGS Landsat 7 Collection 2 Tier 1 and Real-Time data TOA Reflectance	Landsat 7 集合 2 Tier 1 和实时数据校准的顶层大气 (TOA) 反射率。校准系数会从图片元数据中提取。如需详细了解 TOA 计算，请参阅 Chander 等人 (2009) 的论文。请注意，自 2017 年以来，Landsat 7 的轨道一直在向更早的获取时间漂移。	Landsat 7 Collection 2 Tier 1 and Real-Time data calibrated top-of-atmosphere (TOA) reflectance. Calibration coefficients are extracted from the image metadata. See Chander et al. (2009) for details on the TOA computation. Note that Landsat 7's orbit has been drifting to an earlier acquisition time …	image_collection	ready	1999-05-28	2024-01-19	15.0	60.0	16 day revisit_interval	USGS/Google	B1, B2, B3, B4, B5, B6_VCID_1, B6_VCID_2, B7, B8, QA_PIXEL, QA_RADSAT, SAA, SZA, VAA, VZA	satellite-imagery	c2, global, landsat, satellite-imagery, toa, usgs	-180.0, -90.0, 180.0, 90.0	PDDL-1.0	https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LE07_C02_T1_RT_TOA
