"# export_metadata: {""exported_at"": ""2026-08-25T18:52:50Z"", ""skill"": ""iran-chem-database@2.19.0 (clawhub: @orionshaowswmw/iran-chem-database)"", ""rows"": 1041, ""previous_primary_rows"": 957, ""added_unique_cids_vs_v218_workspace_export"": 84, ""confirmed_organic"": 1041, ""unique_cids"": 1041, ""unique_inchikeys"": 1035, ""rows_with_cas"": 569, ""rows_with_canonical_smiles"": 1035, ""rows_with_evidence_url"": 977, ""composition"": {""verified_telegram_listing"": 358, ""verified_catalogue"": 480, ""verified_catalogue | verified_telegram_listing"": 2, ""verified_web_catalogue"": 200, ""(none)"": 1}, ""pipeline"": ""Merged previous skill seed (market-verified + expanded + parallel-AI + legacy) with 2026-08-25 live Iranian catalogue harvest (Telegram + WooCommerce + TamadKala sitemaps). CID-deduped. PubChem-confirmed. Organic gate. router.py --batch title normalization only — never invents."", ""scope"": ""BEST-EFFORT dated index of CONFIRMED-ORGANIC molecules appearing in configured public Iranian supplier catalogues. NOT a national census. Listing presence is not proof of current stock."", ""cid_dedupe"": ""enforced — zero same-CID rows"", ""provenance_hash"": ""sha256(evidence_text|evidence_url|CID) per row"", ""supersedes"": ""iran_organic_molecules_parallel_ai_2026-08-24.csv as CURRENT/PRIMARY; older seed files retained for audit""}"
molecule_name,common_name,name_variants,cas_number,pubchem_cid,inchi_key,molecular_formula,molecular_weight,canonical_smiles,organic_status,category,grade,supplier_name,supplier_platform,availability_status,evidence_url,evidence_text,identity_method,source_type,record_date,provenance_hash
L-Aspartic Acid,L-Aspartic Acid,L-Aspartic Acid; (2S)-2-aminobutanedioic acid,56-84-8,5960,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4,133.10,C(C(C(=O)O)N)C(=O)O,confirmed_organic,organic_reagent,research,telegram:ChemIranSanat; telegram:ATRmedShop,telegram:ChemIranSanat,telegram_listing_evidence,https://t.me/ATRmedShop/324,014036 Exir L-Aspartic acid 100g 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ♾ موجودی و تنوع بی نظیر از برندهای معتبر 📦 ارسال رایگان 📱 سفارش کالا 👇 📱 0938 648 9001 ☎️ 77 88 18 08 🆔 @ChemIranAdmin 🆔 @ChemIran1,structured_pubchem,verified_telegram_listing,2026-08-23,443d5d3c95c7fbb09fc4719290a4ca55ec3598b1107690e8a4b99b3aaf51f319
"(2S)-2,5-diamino-5-oxopentanoic acid",L-Glutamine,"(2S)-2,5-diamino-5-oxopentanoic acid; L-Glutamine",56-85-9,5961,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3,146.14,C(CC(=O)N)[C@@H](C(=O)O)N,confirmed_organic,organic_reagent,research,TamadKala,Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://tamadkala.com/product/16832/%D8%A2%D9%85%DB%8C%D9%86%D9%88-%D8%A7%D8%B3%DB%8C%D8%AF-%D9%85%D8%AD%D9%84%D9%88%D9%84-%D8%A7%D9%84-%DA%AF%D9%84%D9%88%D8%AA%D8%A7%D9%85%DB%8C%D9%86-g7513,آمینو اسید محلول ال گلوتامین g7513 | ال گلوتامین bioultra,router_title_normalization,verified_catalogue,2026-08-23,9c5deced71d19feec91808c380c23e686eded616df679845705c397d3be79500
"(2S)-2,6-diaminohexanoic acid",L-Lysine,"(2S)-2,6-diaminohexanoic acid; L-Lysine",56-87-1,5962,KDXKERNSBIXSRK-YFKPBYRVSA-N,C6H14N2O2,146.19,C(CCN)C[C@@H](C(=O)O)N,confirmed_organic,organic_reagent,,TamadKala,Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://tamadkala.com/product/164568/%D8%A7%D9%84-%D9%84%D9%88%D8%B3%DB%8C%D9%86-%D8%A8%D8%B1%D9%86%D8%AF-dyc-%DA%86%DB%8C%D9%86,آمینو اسید ال لیزین مونوهیدرات l9037 | ال لوسین برند dyc چین | ال لیزین,router_title_normalization,verified_catalogue,2026-08-23,d007b5ab555ec3b45dba6a30108571696901556106686982efe3f21aa8512d9d
3-isothiocyanatoprop-1-ene,Allyl Isothiocyanate,3-isothiocyanatoprop-1-ene; Allyl Isothiocyanate; Allyl isothiocyanate,,5971,ZOJBYZNEUISWFT-UHFFFAOYSA-N,C4H5NS,99.16,C=CCN=C=S,confirmed_organic,organic_reagent,research,Telegram: minatajhiz,Iranian supplier Telegram catalogue,listed_not_current_stock_verified,https://t.me/minatajhiz/1020,3-isothiocyanatoprop-1-ene,existing skill export,verified_catalogue,2026-08-23,5e17347bf1aa2d17f5a8687152c3e99896130a833a65b5120c74e9e691818af7
hexadecyl(trimethyl)azanium bromide,hexadecyl(trimethyl)azanium bromide,,57-09-0,5974,LZZYPRNAOMGNLH-UHFFFAOYSA-M,C19H42BrN,364.4,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],confirmed_organic,,,telegram:ATRmedShop,public Telegram (seller_research),product_page_listed_not_current_stock_verified,https://t.me/ATRmedShop/636,CTAB | CTAB گرید بیولوژی مولکولی ‌‏⁧ ‌‌‏‌محصولات سیگما اصل را از ما بخواهید. 👇 واردات و فروش مواد شیمیایی سیگما 👇 ‌ ‌ ‌ ☎️ تلفن: ۰۲۱۶۶۳۶۱۵۴۳-۶۶۳۷۹۰۲۶-۰۲۱ ‌ 📱 موبایل: 09120549893 🌐 لینک محصول : https://atrmed.com/product/ctab/?v=e067b3c6b979 #آثل_طب #مواد_ازمایشگاهی #مواد_شیمیایی #بیولوژی #بیولوژی_مولکولی #آنتی_بیوتیک #آنزیم #اسید_آمینه,router_batch+pubchem,verified_telegram_listing,2026-08-25,d0a76e056fa769f43cc058c4bd6d9e0a14d597dace5cbb479205e1fd7cb3e637
"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",Sucrose,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol; Sucrose",57-50-1,5988,CZMRCDWAGMRECN-UGDNZRGBSA-N,C12H22O11,342.30,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,confirmed_organic,organic_reagent,industrial,DigiShimi; Fardad Shimi; TamadKala; Telegram: jahaneshimicom; Mojallali Group,Iranian online chemical shops | Iranian online lab-chemical shop | Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,https://digishimii.ir/Product/%d8%b3%d8%a7%da%a9%d8%a7%d8%b1%d9%88%d8%b2/,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol | ساکارز MERCK | ساکارز برند dyc چین | ... | ساکارز نوترون | ساکاروز | ساکاروز قطران شیمی",existing skill export | router_title_normalization,verified_catalogue,2026-08-23,80152302710694f01d17943835b27048cabcb500b6f943d529fb6bc18259a795
"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",Cholesterol,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol; Cholesterol",57-88-5,5997,HVYWMOMLDIMFJA-DPAQBDIFSA-N,C27H46O,386.7,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,confirmed_organic,organic_reagent,,TamadKala,Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://tamadkala.com/product/146369/%DA%A9%D9%84%D8%B3%D8%AA%D8%B1%D9%88%D9%84-%D8%B3%DB%8C%DA%AF%D9%85%D8%A7-c8503,کلسترول سیگما c8503 | کلسترول سیگما کد c3045,router_title_normalization,verified_catalogue,2026-08-23,9f33e8198a72d77a68179d7a9274e11f1524f1cec7e5df578d9f4be2cee49e14
"7,12-dimethylbenzo[a]anthracene","7,12-Dimethylbenz(a)anthracene",,57-97-6,6001,ARSRBNBHOADGJU-UHFFFAOYSA-N,C20H16,256.3,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,confirmed_organic,organic_reagent,,telegram:ChemIranSanat,Iranian supplier Telegram catalogue,listing_evidence_crawled_2026-08-24,https://t.me/ChemIranSanat/1714,,ai_normalised_listing+pubchem_confirmed,verified_telegram_listing,2019-06-01,1ef5d1b9ab901c59da09fb372229ecfe4042f2f7c29e030065af6ef975b0e62a
"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",Testosterone,,58-22-0,6013,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,C19H28O2,288.4,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,confirmed_organic,pharmaceutical_or_api,,telegram:minatajhiz,Iranian supplier Telegram catalogue,listing_evidence_crawled_2026-08-24,https://t.me/minatajhiz/396,,ai_normalised_listing+pubchem_confirmed,verified_telegram_listing,2018-05-29,475ee3cb657dd490fefc41315d2532b29e7799f8aa52c1579d1e7628df3d1be4
2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetic acid,EDTA,2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetic acid; EDTA; edta; Ethylenediaminetetraacetic Acid; titriplex ii,60-00-4,6049,KCXVZYZYPLLWCC-UHFFFAOYSA-N,C10H16N2O8,292.24,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,confirmed_organic,organic_reagent,research,DigiShimi; Fardad Shimi; TamadKala; Telegram: IranChemicals; Isatis Shimi; Mojallali Group; ShimiMan; IR Chem / Pishgaman; telegram:minatajhiz,Iranian online chemical shops | Iranian online lab-chemical shop | Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,https://digishimii.ir/Product/%d8%a7%d8%af%d8%aa%d8%a7/,2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetic acid | ا د ت آ (EDTA) ۱ کیلویی دکتر مجللی | ا د ت آ extra pure دکتر مجللی | ... | ادتا | ای دی تی آ edta قطران شیمی | ... | تیترانت edta دکتر مجللی | ...,existing skill export | router_title_normalization,verified_catalogue,2026-08-23,95d36593213075157516b561cbf9561c224082b22a8f6346739b56494c40bdda
"N,N-dimethyl-4-phenyldiazenylaniline",Dimethyl yellow,"N,N-dimethyl-4-phenyldiazenylaniline; Dimethyl yellow",60-11-7,6053,JCYPECIVGRXBMO-UHFFFAOYSA-N,C14H15N3,225.29,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,confirmed_organic,colorant_or_indicator,,Fardad Shimi,Iranian online lab-chemical shop,product_page_listed_not_current_stock_verified,,دی متیل یلو مرک MERCK,router_title_normalization,verified_catalogue,2026-08-23,845eb9e4a6e3324480d3482102c853c2d98d829a2cb7faf123250062c978fdf4
(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,L-Tyrosine,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid; L-Tyrosine,,6057,OUYCCCASQSFEME-QMMMGPOBSA-N,C9H11NO3,181.19,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,confirmed_organic,organic_reagent,research,Fardad Shimi; TamadKala,Iranian online lab-chemical shop | Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://tamadkala.com/product/16908/%D8%A2%D9%85%DB%8C%D9%86%D9%88-%D8%A7%D8%B3%DB%8C%D8%AF-%D8%A7%D9%84-%D8%AA%DB%8C%D8%B1%D9%88%D8%B2%DB%8C%D9%86,آمینو اسید ال تیروزین | آمینو اسید ال تیروزین bioultra | ال تیروزین MERCK | ...,router_title_normalization,verified_catalogue,2026-08-23,2f9560273a1d798c8b4687e26c93d44577fd7b85e22ee1664a3e986a270ef715
Methylene Blue,Methylene blue,Methylene Blue; Methylene blue; [7-(dimethylamino)phenothiazin-3-ylidene]-dimethylazanium chloride; methylene blue,61-73-4,6099,CXKWCBBOMKCUKX-UHFFFAOYSA-M,C16H18ClN3S,319.9,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],confirmed_organic,colorant_or_indicator,,Mojallali Group; TamadKala; ShimiMan; telegram:ATRmedShop,web_catalogue,listing_evidence_crawled_2026-08-23,https://drm-chem.com/en/product/methylene-blue-en/,Methylene blue,pubchem_direct,verified_web_catalogue,2026-08-23,2135ace8bba2530dc0d8f9bd24c96887d9c4e6ef8b84db56a2982e01ff659ed4
4-methylbenzenesulfonic acid,p-Toluenesulfonic acid,4-methylbenzenesulfonic acid; p-Toluenesulfonic acid,104-15-4,6101,JOXIMZWYDAKGHI-UHFFFAOYSA-N,C7H8O3S,172.20,CC1=CC=C(C=C1)S(=O)(=O)O,confirmed_organic,organic_reagent,,Fardad Shimi,Iranian online lab-chemical shop,product_page_listed_not_current_stock_verified,,پارا تولوئن ۴ سولفونیک اسید ۱ آبه MERCK | ...,router_title_normalization,verified_catalogue,2026-08-23,c9c8b56f848eb96bb77491e3afb5e678aaa335a7958048f2ee19f7f430c7a067
(2S)-2-amino-4-methylpentanoic acid,L-Leucine,(2S)-2-amino-4-methylpentanoic acid; L-Leucine,61-90-5,6106,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2,131.17,CC(C)C[C@@H](C(=O)O)N,confirmed_organic,organic_reagent,research,TamadKala; telegram:ATRmedShop,Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://tamadkala.com/product/17068/%D8%A7%D9%84-%D9%84%D9%88%D8%B3%DB%8C%D9%86-l8912,ال لوسین l8912 | ال لوسین61819 bioultra,router_title_normalization,verified_catalogue,2026-08-23,6e9db4908ba1efa33a5a14bfc2924ed7bf71e61cc1dfe3f5bc8aef05a7e35e90
4-Nitrobenzoic Acid,4-Nitrobenzoic acid,,,6108,OTLNPYWUJOZPPA-UHFFFAOYSA-N,C7H5NO4,167.12,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],confirmed_organic,organic_reagent,,minatajhiz,telegram,listing_evidence_crawled_2026-08-23,https://t.me/minatajhiz/109,4-نیترو بنزوئیک اسید 99% مرک فروش و واردات انواع مواد شیمیایی آزمایشکاهی از معتبرترین کمپانی های دنیا,ai_resolved+pubchem,verified_telegram_listing,2026-08-23,7c7eadb7e8b62bb6fdfa44a641e907dd674ae6a59d12486b04a02297679aa65f
aniline,Aniline,aniline; Aniline,62-53-3,6115,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,C6H7N,93.13,C1=CC=C(C=C1)N,confirmed_organic,organic_reagent,,telegram:IranChemicals; telegram:ATRmedShop; telegram:ChemIranSanat,Iranian supplier Telegram catalogue,listing_evidence_crawled_2026-08-24,https://t.me/Iranchemicals/26636,Aniline | آنیلین برای سنتز ‌‏⁧ ‌‌‏‌محصولات مرک اصل را از ما بخواهید. 👇 واردات و فروش مواد شیمیایی سیگما و مرک 👇 ‌ ‌ ‌ ☎️ تلفن: ۰۲۱۶۶۳۶۱۵۴۳-۶۶۳۷۹۰۲۶-۰۲۱ ‌ 📱 موبایل: 09120549893 🌐 لینک محصول : https://atrmed.com/product/aniline/?v=e067b3c6b979 #آثل_طب #مواد_ازمایشگاهی #مواد_شیمیایی #بیولوژی #بیولوژی_مولکولی #آنتی_بیوتیک #آنیلین #سنتز,ai_normalised_listing+pubchem_confirmed,verified_telegram_listing,2024-04-09,9012f5e402f486a86a211c157213795c24c3f436afc14fa3df5c5d0145ca4652
calcium diacetate,Calcium acetate,calcium diacetate; Calcium acetate,,6116,VSGNNIFQASZAOI-UHFFFAOYSA-L,C4H6CaO4,158.17,CC(=O)[O-].CC(=O)[O-].[Ca+2],confirmed_organic,organic_reagent,,Fardad Shimi,Iranian online lab-chemical shop,product_page_listed_not_current_stock_verified,,استات کلسیم ۱ آبه MERCK | ...,router_title_normalization,verified_catalogue,2026-08-23,8847cde159ced81dc213236fa0f6df1f3975f134a2dd1243f5ac78b33ac976b3
Sodium Oxalate,Disodium oxalate,Sodium Oxalate; Disodium oxalate; disodium;oxalate,62-76-0,6125,ZNCPFRVNHGOPAG-UHFFFAOYSA-L,C2Na2O4,134.00,C(=O)(C(=O)[O-])[O-].[Na+].[Na+],confirmed_organic,organic_reagent,,Mojallali Group,web_catalogue,listing_evidence_crawled_2026-08-23,https://drm-chem.com/en/product/di-sodium-oxalate-laboratory-en/,Di-Sodium oxalate,ai_resolved+pubchem,verified_web_catalogue,2026-08-23,0d64038a50572f9f61faf94bd5567395a3ac0dd90ab9eb85c9618410525fc7f5
"(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",Lactose,"(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol; Lactose",63-42-3,6134,GUBGYTABKSRVRQ-DCSYEGIMSA-N,C12H22O11,342.30,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,confirmed_organic,organic_reagent,research,TamadKala,Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://tamadkala.com/product/99056/%D9%84%D8%A7%DA%A9%D8%AA%D9%88%D8%B2-extra-pure-%D9%86%D9%88%D8%AA%D8%B1%D9%88%D9%86,لاکتوز extra pure نوترون,router_title_normalization,verified_catalogue,2026-08-23,aae84e2d3434a80df3030b5658d6820b989415c56875d669f03d7bfc8b43d6f0
(2S)-2-amino-3-phenylpropanoic acid,L-Phenylalanine,(2S)-2-amino-3-phenylpropanoic acid; L-Phenylalanine,63-91-2,6140,COLNVLDHVKWLRT-QMMMGPOBSA-N,C9H11NO2,165.19,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,confirmed_organic,organic_reagent,research,TamadKala,Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://tamadkala.com/product/17323/%D8%A7%D9%84-%D9%81%D9%86%DB%8C%D9%84-%D8%A2%D9%84%D8%A7%D9%86%DB%8C%D9%86-p5482,ال فنیل آلانین bioultra | ال فنیل آلانین p5482,router_title_normalization,verified_catalogue,2026-08-23,5e85e727068ae36e7ba6d90ca936e089bdd98ce52d1dc4aac2ba6a11a71fcbfe
"N-[(7S)-1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5H-benzo[a]heptalen-7-yl]acetamide",Colchicine,,64-86-8,6167,IAKHMKGGTNLKSZ-INIZCTEOSA-N,C22H25NO6,399.4,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,confirmed_organic,secondary_metabolite_or_natural_product,,telegram:labshop,Iranian supplier Telegram catalogue,listing_evidence_crawled_2026-08-24,https://t.me/labshop/9,,ai_normalised_listing+pubchem_confirmed,verified_telegram_listing,2016-03-06,e569a02d9942d125444e5cf0da9ac0251887238e12d70e348e350cb5e47f4b3f
"4-[(2R)-2-[(1S,3S,5S)-3,5-dimethyl-2-oxocyclohexyl]-2-hydroxyethyl]piperidine-2,6-dione","4-[(2R)-2-[(1S,3S,5S)-3,5-dimethyl-2-oxocyclohexyl]-2-hydroxyethyl]piperidine-2,6-dione",,66-81-9,6197,YPHMISFOHDHNIV-FSZOTQKASA-N,C15H23NO4,281.35,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,confirmed_organic,,,telegram:ATRmedShop,public Telegram (seller_research),product_page_listed_not_current_stock_verified,https://t.me/ATRmedShop/810,Cycloheximide | سیکلوهگزیمید سیکلوهگزیمید یک آنتی‌بیوتیک گلوتاریمید است که از باکتری استرپتومایسس گریزئوس S. griseus به دست می‌آید. سیکلوهگزامید سنتز پروتئین یوکاریوتی، اما نه پروکاریوتی را مهار می‌کند. این مهار انتخابی آن را در... برای مشاهده ادامه مطلب، مشاهده قیمت آنلاین و خرید اینترنتی سیکلوهگزیمید به لینک زیر مراجعه فرمایید: https://atrmed.com/product/cycloheximide/ #سیکلوهگزامیدچیست #کاربردسیکلوهگزیمید #نقش_سیکلوهگزامیددرمحیط_کشت #قارچ_مقاوم_به_سیکلوهگزامید #قیمت_سیکلوهگزیمید #خریدسیکلوهگز,router_batch+pubchem,verified_telegram_listing,2026-08-25,ef46cabc82b7385f3840357cdbb1285acbc4d0e7907a08ebe5321f9f1a47b986
Thiamine Hydrochloride,Thiamine hydrochloride,"Thiamine Hydrochloride; Thiamine hydrochloride; 2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethanol;chloride;hydrochloride; Thiamine HCL (vitamin B1)",,6202,DPJRMOMPQZCRJU-UHFFFAOYSA-M,C12H18Cl2N4OS,337.3,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.Cl.[Cl-],confirmed_organic,pharmaceutical_or_api,,Temad,web_catalogue,listing_evidence_crawled_2026-08-23,https://www.temad.com/product/12/,Thiamine HCL (vitamin B1) Veterinary,ai_resolved+pubchem,verified_web_catalogue,2026-08-23,282aeabd26ba42f7fdc89bc09c756cf63c400671f015667ea1dd7e90c1159e6f
choline chloride,choline chloride,choline chloride; 2-hydroxyethyl(trimethyl)azanium chloride,67-48-1,6209,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C5H14ClNO,139.62,C[N+](C)(C)CCO.[Cl-],confirmed_organic,organic_reagent,research,telegram:ChemIranSanat; telegram:jahaneshimicom; IR Chem / Pishgaman,telegram:ChemIranSanat; jahaneshimicom,telegram_listing_evidence,https://t.me/ChemIranSanat/1283,کولین کلراید,alias+pubchem,verified_telegram_listing,2026-08-23,87b8baa0239598aca0d614cf4cbe287f0ff5b319f6d302d0aa67ea3fe69e8f1c
chloroform,chloroform,chloroform,67-66-3,6212,HEDRZPFGACZZDS-UHFFFAOYSA-N,CHCl3,119.37,C(Cl)(Cl)Cl,confirmed_organic,organic_reagent,research,Fardad Shimi; TamadKala; Telegram: ChemIranSanat; Telegram: minatajhiz; Mojallali Group; ShimiMan; IR Chem / Pishgaman,Iranian online lab-chemical shop | Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,https://fardadshimi.com/product/6199224/,chloroform | كلروفرم قطران شیمی | ... | کلرفرم acs دکتر مجللی | ... | کلرفرم laboratory دکتر مجللی | ... | کلروفرم دکتر مجللی,existing skill export | router_title_normalization,verified_catalogue,2026-08-23,00581fcdac89a12b2434d1a87c6d72362f89725476ddcb4b9e28e24b28d6b675
"trisodium;2-hydroxypropane-1,2,3-tricarboxylate",Trisodium citrate,"trisodium;2-hydroxypropane-1,2,3-tricarboxylate; Trisodium citrate",68-04-2,6224,HRXKRNGNAMMEHJ-UHFFFAOYSA-K,C6H5Na3O7,258.07,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+],confirmed_organic,organic_reagent,research,Isatis Shimi; TamadKala,Iranian online chemical shops | Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://isatisshimi.com/en/product/trisodium-citrate/,Trisodium Citrate | تری سدیم سیترات | تری سدیم سیترات 2 آبه laboratory دکتر مجللی | ...,router_title_normalization,verified_catalogue,2026-08-23,19a81205b3ce171b6e03f622fe6f39a54d45845c0194375c4ddd122a5ea9229d
2-bromoacetic acid,Bromoacetic Acid,,79-08-3,6227,KDPAWGWELVVRCH-UHFFFAOYSA-N,C2H3BrO2,138.95,C(C(=O)O)Br,confirmed_organic,organic_reagent,,telegram:ChemIranSanat,Iranian supplier Telegram catalogue,listing_evidence_crawled_2026-08-24,https://t.me/ChemIranSanat/1452,,ai_normalised_listing+pubchem_confirmed,verified_telegram_listing,2018-05-14,a617b98fc2e882d29bdf4536557ae60aef02d72f732448bfb25523aeccdbd99f
"N,N-dimethylformamide",Dimethylformamide,"N,N-dimethylformamide; Dimethylformamide; dimethylformamide",68-12-2,6228,ZMXDDKWLCZADIW-UHFFFAOYSA-N,C3H7NO,73.09,CN(C)C=O,confirmed_organic,organic_reagent,research,Fardad Shimi; TamadKala; Telegram: IranChemicals; Mojallali Group; ShimiMan; IR Chem / Pishgaman,Iranian online lab-chemical shop | Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,https://fardadshimi.com/product/6199366/,"N,N-dimethylformamide | دی متیل فرمامید dry نوترون | ... | دی متیل فرمامید extra pure دکتر مجللی | دی متیل فرمامید extra pure دکتر مجللی 2 | ... | دی متیل فرمامید gc دکتر مجللی | دی متیل فرمامید gc نوترون | ... | دی متیل فرمامید hplc نوترون | دی متیل فرمامید دکتر مجللی | دی متیل",existing skill export | router_title_normalization,verified_catalogue,2026-08-23,581a8b0f1cfb4054f8e08c3af44bcda1cfc054fab8f67f8d87a046f6de8e0a21
"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol","(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol",,69-65-8,6251,FBPFZTCFMRRESA-KVTDHHQDSA-N,C6H14O6,182.17,C(C(C(C(C(CO)O)O)O)O)O,confirmed_organic,,,telegram:ATRmedShop,public Telegram (seller_research),product_page_listed_not_current_stock_verified,https://t.me/ATRmedShop/678,D-mannitol | D-مانیتول گرید میکروبیولوژی ‌‏⁧ ‌‌‏‌محصولات سیگما اصل را از ما بخواهید. 👇 واردات و فروش مواد شیمیایی سیگما 👇 ‌ ‌ ‌ ☎️ تلفن: ۰۲۱۶۶۳۶۱۵۴۳-۶۶۳۷۹۰۲۶-۰۲۱ ‌ 📱 موبایل: 09120549893 🌐 لینک محصول : https://atrmed.com/product/d-mannitol/?v=e067b3c6b979 #آثل_طب #مواد_ازمایشگاهی #مواد_شیمیایی #بیولوژی #بیولوژی_مولکولی #آنتی_بیوتیک #آنزیم #سیگماآلدریچ #مرک,router_batch+pubchem,verified_telegram_listing,2026-08-25,1b834f13f6e452b587fc33cb68a172204f92d6a9aab5e6b801e5504e32f5a2ad
