"# export_metadata: {""exported_at"":""2026-08-23T12:30:45+00:00"",""skill"":""iran-chem-database@2.14.1"",""scope"":""Expanded BEST-EFFORT index of distinct confirmed-organic molecules appearing in public Iranian supplier/retailer catalogues and public supplier API/intermediate lists. Not a complete national market census and not a current-stock guarantee."",""rows"":480,""previous_verified_rows"":207,""new_source_records_before_dedup"":1616,""new_source_records_after_chemistry_filter"":948,""source_sets"":{""TamadKala"":""3484 product URLs from product sitemaps; title normalization via router; PubChem validation"",""Fardad Shimi"":""569 product pages from paginated shop listings; title normalization via router"",""DigiShimi"":""268 public WooCommerce products"",""Isatis Shimi"":""188 public WooCommerce products"",""BehChin Chemi Pharmed"":""public human/veterinary API, intermediate, excipient, cosmetic, food-additive lists"",""Pishgaman Shimi (IR Chem)"":""public pharmaceutical/cosmetic/raw-material category product pages"",""ShimiMan"":""public product sitemap titles"",""existing_skill_catalogue"":""207 rows from live-verified Iranian Telegram channels, retained and supplier-labeled"",""Rooz Darou"":""114 public Iranian pharmaceutical product pages; title-mapped and PubChem validated""},""router_assistance"":""router.py was used for Persian/English product-title normalization and category extraction; every admitted new record was independently structure/formula checked via PubChem."",""third_party_relay"":""r.jina.ai was used to retrieve public TamadKala/Fardad Shimi sitemaps or listing pages when direct requests timed out; original direct supplier URLs are retained, and no private data was sent."",""discovered_but_not_admitted"":""Arzan Azma and E-Az were identified as Iranian online lab shops but were not added without a reliable structured product export; their generic/category pages are not molecule-level evidence."",""supplier_column"":""supplier_name is the distinct supplier/retailer field; supplier_platform and supplier_country_evidence preserve context."",""limitations"":""Foreign brands listed by Iranian retailers are product metadata, not evidence that the supplier is foreign. Product page presence is not proof of stock. Mixtures, polymers, equipment, inorganic and unresolved records were excluded."",""filter_stats"":{""not_confirmed_organic"":668},""additional_expansion"":""Rooz Darou pharmaceutical catalogue added; duplicate actives merged and supplier provenance appended.""}"
molecule_name,common_name,cas_number,pubchem_cid,inchi_key,molecular_formula,molecular_weight,canonical_smiles,organic_status,category,research_grade_candidate,research_grade_signal,supplier_name,supplier_platform,supplier_country_evidence,catalogue_presence,availability_status,source_product_titles,source_urls,identity_methods,evidence_record_count
10H-anthracen-9-one,Anthrone,90-44-8,7018,RJGDLRCDCYRQOQ-UHFFFAOYSA-N,C14H10O,194.23,,confirmed_organic,organic_reagent,not_stated,True,Fardad Shimi,Iranian online lab-chemical shop,site shows Iranian shop and nationwide delivery,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,آنترون مرک MERCK,,router_title_normalization,1
10H-phenothiazine,Phenothiazine,,7108,WJFKNYWRSNBZNX-UHFFFAOYSA-N,C12H9NS,199.27,,confirmed_organic,organic_reagent,yes,research,Telegram: ChemIranSanat | Telegram: minatajhiz,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,10H-phenothiazine,https://t.me/ChemIranSanat/1798 | https://t.me/minatajhiz/1002,existing skill export,3
"1H-1,2,4-triazole","1H-1,2,4-Triazole",288-88-0,9257,NSPMIYGKQJPBQR-UHFFFAOYSA-N,C2H3N3,69.07,,confirmed_organic,organic_reagent,yes,research,Telegram: minatajhiz,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"1H-1,2,4-triazole",https://t.me/minatajhiz/984,existing skill export,2
"1H-3,1-benzoxazine-2,4-dione",Isatoic Anhydride,,8359,TXJUTRJFNRYTHH-UHFFFAOYSA-N,C8H5NO3,163.13,,confirmed_organic,organic_reagent,yes,research,Telegram: ChemIranSanat,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"1H-3,1-benzoxazine-2,4-dione",https://t.me/ChemIranSanat/1693,existing skill export,2
1H-imidazole,Imidazole,288-32-4,795,RAXXELZNTBOGNW-UHFFFAOYSA-N,C3H4N2,68.08,,confirmed_organic,organic_reagent,not_stated,,Fardad Shimi | TamadKala,Iranian online lab-chemical shop | Iranian online wholesale/lab shop,site shows Iranian online shop | site shows Iranian shop and nationwide delivery,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,ایمیدازول | ایمیدازول MERCK | ...,https://tamadkala.com/product/68101/%D8%A7%DB%8C%D9%85%DB%8C%D8%AF%D8%A7%D8%B2%D9%88%D9%84,router_title_normalization,2
1H-pyrazole,Pyrazole,,1048,WTKZEGDFNFYCGP-UHFFFAOYSA-N,C3H4N2,68.08,,confirmed_organic,organic_reagent,not_stated,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,پیرازول,https://tamadkala.com/product/20886/%D9%BE%DB%8C%D8%B1%D8%A7%D8%B2%D9%88%D9%84,router_title_normalization,1
1H-pyrrole-2-carbaldehyde,Pyrrole-2-carboxaldehyde,,13854,ZSKGQVFRTSEPJT-UHFFFAOYSA-N,C5H5NO,95.10,,confirmed_organic,organic_reagent,yes,research,Telegram: minatajhiz,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,1H-pyrrole-2-carbaldehyde,https://t.me/minatajhiz/1049,existing skill export,2
"2,2,2-trichloroacetic acid",Trichloroacetic acid,76-03-9,6421,YNJBWRMUSHSURL-UHFFFAOYSA-N,C2HCl3O2,163.38,,confirmed_organic,organic_reagent,yes,MERCK | extra pure,Fardad Shimi | TamadKala,Iranian online lab-chemical shop | Iranian online wholesale/lab shop,site shows Iranian online shop | site shows Iranian shop and nationwide delivery,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,تری کلرو استیک اسید MERCK | ... | تری کلرو استیک اسید extra pure نوترون | تری کلرواستیک اسید,https://tamadkala.com/product/9037/%D8%AA%D8%B1%DB%8C-%DA%A9%D9%84%D8%B1%D9%88%D8%A7%D8%B3%D8%AA%DB%8C%DA%A9-%D8%A7%D8%B3%DB%8C%D8%AF | https://tamadkala.com/product/95952/%D8%AA%D8%B1%DB%8C-%DA%A9%D9%84%D8%B1%D9%88-%D8%A7%D8%B3%D8%AA%DB%8C%DA%A9-%D8%A7%D8%B3%DB%8C%D8%AF-extra-pure-%D9%86%D9%88%D8%AA%D8%B1%D9%88%D9%86,router_title_normalization,3
"2,2,2-trifluoro-N-methyl-N-trimethylsilylacetamide",N-methyl-N-(trimethylsilyl)trifluoroacetamide,,32510,MSPCIZMDDUQPGJ-UHFFFAOYSA-N,C6H12F3NOSi,199.25,,confirmed_organic,organic_reagent,yes,research,Telegram: minatajhiz,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"2,2,2-trifluoro-N-methyl-N-trimethylsilylacetamide",https://t.me/minatajhiz/1094,existing skill export,2
"2,2,2-trifluoroacetic acid",Trifluoroacetic acid,76-05-1,6422,DTQVDTLACAAQTR-UHFFFAOYSA-N,C2HF3O2,114.02,,confirmed_organic,organic_reagent,yes,extra pure,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,تری فلورو استیک اسید extra pure نوترون | ...,,router_title_normalization,1
"2,2,3,3,4,4,4-heptafluorobutanoic acid",Heptafluorobutyric acid,,9777,YPJUNDFVDDCYIH-UHFFFAOYSA-N,C4HF7O2,214.04,,confirmed_organic,organic_reagent,yes,research,Telegram: ChemIranSanat,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"2,2,3,3,4,4,4-heptafluorobutanoic acid",https://t.me/ChemIranSanat/1815,existing skill export,2
"2,2,4-trimethylpentan-1-ol","2,2,4-Trimethyl-1-pentanol",123-44-4,31258,CWPPDTVYIJETDF-UHFFFAOYSA-N,C8H18O,130.23,,confirmed_organic,organic_reagent,not_stated,industrial,Telegram: chemgroup,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"2,2,4-trimethylpentan-1-ol",,existing skill export,1
"2,2,4-trimethylpentane","2,2,4-Trimethylpentane",,10907,NHTMVDHEPJAVLT-UHFFFAOYSA-N,C8H18,114.23,,confirmed_organic,organic_reagent,yes,research,Telegram: minatajhiz,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"2,2,4-trimethylpentane",https://t.me/minatajhiz/765,existing skill export,2
"2,2-dihydroxyindene-1,3-dione",Ninhydrin,2531-46-2,10236,FEMOMIGRRWSMCU-UHFFFAOYSA-N,C9H6O4,178.14,,confirmed_organic,organic_reagent,not_stated,MERCK,Fardad Shimi,Iranian online lab-chemical shop,site shows Iranian shop and nationwide delivery,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,نین هیدرین MERCK | ...,,router_title_normalization,1
"2,2-dimethylpropane-1,3-diol",Neopentyl glycol,126-30-7,31344,SLCVBVWXLSEKPL-UHFFFAOYSA-N,C5H12O2,104.15,,confirmed_organic,organic_reagent,not_stated,industrial,Telegram: Maran_Tejarat_Eshen,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"2,2-dimethylpropane-1,3-diol",,existing skill export,1
"2,2-Diphenyl-1-picrylhydrazyl",DPPH,1898-66-4,2735032,HHEAADYXPMHMCT-UHFFFAOYSA-N,C18H12N5O6,394.3,,confirmed_organic,organic_reagent,not_stated,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,22 دی فنیل پیکریل هیدرازیل | دی پی پی اچ dpph با کد d9132 سیگما,https://tamadkala.com/product/154569/%D8%AF%DB%8C-%D9%BE%DB%8C-%D9%BE%DB%8C-%D8%A7%DA%86-dpph-%D8%A8%D8%A7-%DA%A9%D8%AF-d9132-%D8%B3%DB%8C%DA%AF%D9%85%D8%A7 | https://tamadkala.com/product/84518/22-%D8%AF%DB%8C-%D9%81%D9%86%DB%8C%D9%84-%D9%BE%DB%8C%DA%A9%D8%B1%DB%8C%D9%84-%D9%87%DB%8C%D8%AF%D8%B1%D8%A7%D8%B2%DB%8C%D9%84,router_title_normalization,2
"2,3,4,5-tetrafluoroaniline","2,3,4,5-Tetrafluoroaniline",,21757,BEECAQIHCYTZHC-UHFFFAOYSA-N,C6H3F4N,165.09,,confirmed_organic,organic_reagent,yes,research,Telegram: ChemIranSanat,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"2,3,4,5-tetrafluoroaniline",https://t.me/ChemIranSanat/1287,existing skill export,2
"2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepine","1,8-Diazabicyclo(5.4.0)undec-7-ene",,81184,GQHTUMJGOHRCHB-UHFFFAOYSA-N,C9H16N2,152.24,,confirmed_organic,organic_reagent,yes,research,Telegram: minatajhiz,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepine",https://t.me/minatajhiz/1010,existing skill export,2
"2,3-dimethylphenol",Xylenol,,10687,QWBBPBRQALCEIZ-UHFFFAOYSA-N,C8H10O,122.16,,confirmed_organic,organic_reagent,not_stated,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,فروش زایلین,https://tamadkala.com/product/2426/%D9%81%D8%B1%D9%88%D8%B4-%D8%B2%D8%A7%DB%8C%D9%84%DB%8C%D9%86,router_title_normalization,1
"2,4,4-trimethylpent-2-ene","2,4,4-Trimethyl-2-pentene",107-40-4,7869,LAAVYEUJEMRIGF-UHFFFAOYSA-N,C8H16,112.21,,confirmed_organic,organic_reagent,yes,research,Telegram: minatajhiz,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"2,4,4-trimethylpent-2-ene",,existing skill export,1
"2,4,6-trinitrobenzenesulfonic acid",Trinitrobenzenesulfonic Acid,,11045,NHJVRSWLHSJWIN-UHFFFAOYSA-N,C6H3N3O9S,293.17,,confirmed_organic,organic_reagent,yes,research,Telegram: ChemIranSanat,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"2,4,6-trinitrobenzenesulfonic acid",https://t.me/ChemIranSanat/498,existing skill export,2
"2,4,6-trinitrophenol",Picric acid,88-89-1,6954,OXNIZHLAWKMVMX-UHFFFAOYSA-N,C6H3N3O7,229.10,,confirmed_organic,organic_reagent,not_stated,PALLAV,Fardad Shimi,Iranian online lab-chemical shop,site shows Iranian shop and nationwide delivery,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,پیکریک اسید PALLAV هندوستان | ...,,router_title_normalization,1
"2,4-dibromoaniline",Cadmium acetate,615-57-6,12004,DYSRXWYRUJCNFI-UHFFFAOYSA-N,C6H5Br2N,250.92,,confirmed_organic,organic_reagent,not_stated,MERCK,Fardad Shimi,Iranian online lab-chemical shop,site shows Iranian shop and nationwide delivery,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,استات روی ۲ آبه MERCK | ...,,router_title_normalization,1
"2,4-dihydroxybenzoic acid","2,4-Dihydroxybenzoic Acid",,1491,UIAFKZKHHVMJGS-UHFFFAOYSA-N,C7H6O4,154.12,,confirmed_organic,organic_reagent,yes,research,Telegram: minatajhiz,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"2,4-dihydroxybenzoic acid",https://t.me/minatajhiz/1095,existing skill export,2
"2,6-dibromo-4-[3-(3,5-dibromo-4-hydroxyphenyl)-1,1-dioxo-2,1lambda6-benzoxathiol-3-yl]phenol",Bromophenol blue,115-39-9,8272,UDSAIICHUKSCKT-UHFFFAOYSA-N,C19H10Br4O5S,670.0,,confirmed_organic,colorant_or_indicator,yes,ACS | True,Fardad Shimi | TamadKala,Iranian online lab-chemical shop | Iranian online research/chemical shop | Iranian online wholesale/lab shop,site shows Iranian online shop | site shows Iranian shop and nationwide delivery,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,بروموفنل بلو ACS دکتر مجللی | بروموفنل بلو acs دکتر مجللی | بروموفنل بلو مرک MERCK,https://tamadkala.com/product/23498/%D8%A8%D8%B1%D9%88%D9%85%D9%88%D9%81%D9%86%D9%84-%D8%A8%D9%84%D9%88-acs-%D8%AF%DA%A9%D8%AA%D8%B1-%D9%85%D8%AC%D9%84%D9%84%DB%8C,explicit_category_supplement | router_title_normalization,3
"2,6-ditert-butyl-4-methylphenol","2,6-Di-tert-butyl-4-methylphenol",128-37-0,31404,NLZUEZXRPGMBCV-UHFFFAOYSA-N,C15H24O,220.35,,confirmed_organic,organic_reagent,not_stated,industrial,Telegram: jahaneshimicom,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"2,6-ditert-butyl-4-methylphenol",,existing skill export,1
"2,7,8-trimethyl-2-(4,8,12-trimethyltridecyl)-3,4-dihydrochromen-6-ol",tocopherol,,14986,QUEDXNHFTDJVIY-UHFFFAOYSA-N,C28H48O2,416.7,,confirmed_organic,pharmaceutical_or_api,not_stated,food,Rooz Darou | TamadKala,Iranian online research/chemical shop | Iranian pharmaceutical product catalogue,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,ویتامین E خوراکی | کپسول سافت ژل ویتامین ای 400IU رزاویت,https://tamadkala.com/product/87735/%D9%88%DB%8C%D8%AA%D8%A7%D9%85%DB%8C%D9%86-e-%D8%AE%D9%88%D8%B1%D8%A7%DA%A9%DB%8C | http://rouzdarou.com/products/%DA%A9%D9%BE%D8%B3%D9%88%D9%84-%D8%B3%D8%A7%D9%81%D8%AA-%DA%98%D9%84-%D9%88%DB%8C%D8%AA%D8%A7%D9%85%DB%8C%D9%86-%D8%A7%DB%8C-400iu-%D8%B1%D8%B2%D8%A7%D9%88%DB%8C%D8%AA,explicit_category_supplement,1
"2-(2-bromoethyl)isoindole-1,3-dione","1H-Isoindole-1,3(2H)-dione, 2-(2-bromoethyl)-",574-98-1,11325,CHZXTOCAICMPQR-UHFFFAOYSA-N,C10H8BrNO2,254.08,,confirmed_organic,organic_reagent,yes,research,Telegram: minatajhiz,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,"2-(2-bromoethyl)isoindole-1,3-dione",https://t.me/minatajhiz/979,existing skill export,2
2-(2-cyanopropan-2-yldiazenyl)-2-methylpropanenitrile,Azobisisobutyronitrile,78-67-1,6547,OZAIFHULBGXAKX-UHFFFAOYSA-N,C8H12N4,164.21,,confirmed_organic,organic_reagent,not_stated,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,αα azoisobutyronitrile,https://tamadkala.com/product/19589/%CE%B1%CE%B1-azoisobutyronitrile,router_title_normalization,1
2-(2-hydroxyethoxy)ethanol,Diethylene glycol,111-46-6,8117,MTHSVFCYNBDYFN-UHFFFAOYSA-N,C4H10O3,106.12,,confirmed_organic,organic_reagent,not_stated,False | industrial,Chemical Iran | DigiShimi | Isatis Shimi,Iranian online chemical shops | Iranian online research/chemical shop,site shows Iranian online shop | site shows Iranian online shops,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,Di Ethylene Glycol (DEG) | Diethylene Glycol (DEG) | دی اتیلن گلیکول,https://digishimii.ir/Product/%d8%af%db%8c-%d8%a7%d8%aa%db%8c%d9%84%d9%86-%da%af%d9%84%db%8c%da%a9%d9%88%d9%84/ | https://isatisshimi.com/en/product/diethylene-glycol-deg/ | https://www.chemicaliran.com/,explicit_category_supplement | router_title_normalization,5
2-(2-hydroxyethylamino)ethanol,Diethanolamine,111-42-2,8113,ZBCBWPMODOFKDW-UHFFFAOYSA-N,C4H11NO2,105.14,,confirmed_organic,organic_reagent,yes,False | True | extra pure | industrial | laboratory,Chemical Iran | DigiShimi | Fardad Shimi | Isatis Shimi | TamadKala,Iranian online chemical shops | Iranian online lab-chemical shop | Iranian online research/chemical shop | Iranian online wholesale/lab shop,site shows Iranian online shop | site shows Iranian online shops | site shows Iranian shop and nationwide delivery,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,Di Ethanol Amine (DEA) | Diethanolamine (DEA) | دی اتانول آمین | دی اتانول آمین extra pure دکتر مجللی | ... | دی اتانول آمین extra pure نوترون | ... | دی اتانول آمین laboratory دکتر مجللی | ... | دی اتانول آمین دکتر مجللی,https://digishimii.ir/Product/%d8%af%db%8c-%d8%a7%d8%aa%d8%a7%d9%86%d9%88%d9%84-%d8%a2%d9%85%db%8c%d9%86/ | https://fardadshimi.com/product/6199300/ | https://isatisshimi.com/en/product/diethanolamine-dea-4/ | https://tamadkala.com/product/18295/%D8%AF%DB%8C-%D8%A7%D8%AA%D8%A7%D9%86%D9%88%D9%84-%D8%A2%D9%85%DB%8C%D9%86 | https://www.chemicaliran.com/,explicit_category_supplement | router_title_normalization,13
2-(2-methoxyethoxy)ethanol,Diethylene glycol monomethyl ether,109-86-4,8134,SBASXUCJHJRPEV-UHFFFAOYSA-N,C5H12O3,120.15,,confirmed_organic,organic_reagent,yes,True | lab,Fardad Shimi | TamadKala,Iranian online lab-chemical shop | Iranian online wholesale/lab shop,site shows Iranian online shop | site shows Iranian shop and nationwide delivery,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,دی اتیلن گلایکول مونو متیل اتر | دی اتیلن گلایکول مونو متیل اتر lab دکتر مج | ... | دی اتیلن گلایکول مونومتیل اتر دکتر مجللی,https://fardadshimi.com/product/6199347/ | https://tamadkala.com/product/76269/%D8%AF%DB%8C-%D8%A7%D8%AA%DB%8C%D9%84%D9%86-%DA%AF%D9%84%D8%A7%DB%8C%DA%A9%D9%88%D9%84-%D9%85%D9%88%D9%86%D9%88-%D9%85%D8%AA%DB%8C%D9%84-%D8%A7%D8%AA%D8%B1,router_title_normalization,3
2-(2-oxopyrrolidin-1-yl)acetamide,Piracetam,,4843,GMZVRMREEHBGGF-UHFFFAOYSA-N,C6H10N2O2,142.16,,confirmed_organic,pharmaceutical_or_api,yes,API/GMP,BehChin Chemi Pharmed,Iranian supplier API/intermediate catalogue,site states Iran-based supplier,public catalogue/product-page evidence; current stock not independently verified,supplier_catalogue_listed_not_current_stock_verified,Piracetam,https://www.behchinchemi.ir/en/our-products/active-pharmaceutical-ingredient,supplier_table,1
2-(dimethylamino)ethanol,Dimethylaminoethanol,108-01-0,7902,UEEJHVSXFDXPFK-UHFFFAOYSA-N,C4H11NO,89.14,,confirmed_organic,organic_reagent,not_stated,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,دی متیل اتانول آمین dmea,https://tamadkala.com/product/18286/%D8%AF%DB%8C-%D9%85%D8%AA%DB%8C%D9%84-%D8%A7%D8%AA%D8%A7%D9%86%D9%88%D9%84-%D8%A2%D9%85%DB%8C%D9%86-dmea,router_title_normalization,1
2-(trimethylazaniumyl)acetate,Betaine,107-43-7,247,KWIUHFFTVRNATP-UHFFFAOYSA-N,C5H11NO2,117.15,,confirmed_organic,organic_reagent,not_stated,False | industrial,Isatis Shimi | Telegram: jahaneshimicom,Iranian online chemical shops | Iranian supplier Telegram catalogue,site shows Iranian online shops | skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,2-(trimethylazaniumyl)acetate | Betaine | بتایین,https://isatisshimi.com/en/product/betaine/ | https://isatisshimi.com/product/%d8%a8%d8%b3%d8%aa%d8%a7%db%8c%db%8c%d9%86/,existing skill export | router_title_normalization,3
"2-[2-(2,6-dichloroanilino)phenyl]acetic acid",diclofenac,,3033,DCOPUUMXTXDBNB-UHFFFAOYSA-N,C14H11Cl2NO2,296.1,,confirmed_organic,pharmaceutical_or_api,not_stated,pharmaceutical,Pishgaman Shimi (IR Chem) | Rooz Darou,Iranian online research/chemical shop | Iranian pharmaceutical product catalogue,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,پودر دیکلوفناک سدیم | قرص دیکلوفناک سدیم 25,https://irchem.ir/diclofenac-sodium/ | http://rouzdarou.com/products/%D9%82%D8%B1%D8%B5-%D8%AF%DB%8C%DA%A9%D9%84%D9%88%D9%81%D9%86%D8%A7%DA%A9-%D8%B3%D8%AF%DB%8C%D9%85-25,explicit_category_supplement,1
2-[2-(2-hydroxyethoxy)ethoxy]ethanol,butyl diglycol,112-27-6,8146,XXJWXESWEXIICW-UHFFFAOYSA-N,C6H14O3,134.17,,confirmed_organic,organic_reagent,yes,False | True | industrial | lab,Chemical Iran | DigiShimi | Fardad Shimi | Isatis Shimi | TamadKala,Iranian online chemical shops | Iranian online lab-chemical shop | Iranian online research/chemical shop | Iranian online wholesale/lab shop,site shows Iranian online shop | site shows Iranian online shops | site shows Iranian shop and nationwide delivery,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,Tri Ethylene Glycol (TEG) | بوتیل دی گلایکول صنعتی | ... | تری اتیلن گلیکول | خرید تری‌ اتیلن گلایکول (TEG) | دی اتیلن گلایکول مونو اتیل اتر | دی اتیلن گلایکول مونو اتیل اتر lab دکتر مج | ... | دی اتیلن گلایکول مونواتیل اتر دکتر مجللی | دی اتیلن گلایکول مونوبوتیل اتر | دی اتیلن گلیکول مونو اتیل اتر دکتر مجلل,https://digishimii.ir/Product/%d8%aa%d8%b1%db%8c-%d8%a7%d8%aa%db%8c%d9%84%d9%86-%da%af%d9%84%db%8c%da%a9%d9%88%d9%84/ | https://fardadshimi.com/product/6199342/ | https://isatisshimi.com/product/%d8%aa%d8%b1%db%8c-%d8%a7%d8%aa%db%8c%d9%84%d9%86-%da%af%d9%84%d8%a7%db%8c%da%a9%d9%88%d9%84/ | https://tamadkala.com/product/33980/%D8%AF%DB%8C-%D8%A7%D8%AA%DB%8C%D9%84%D9%86-%DA%AF%D9%84%D8%A7%DB%8C%DA%A9%D9%88%D9%84-%D9%85%D9%88%D9%86%D9%88%D8%A8%D9%88%D8%AA%DB%8C%D9%84-%D8%A7%D8%AA%D8%B1 | https://tamadkala.com/product/33983/%D8%AF%DB%8C-%D8%A7%D8%AA%DB%8C%D9%84%D9%86-%DA%AF%D9%84%D8%A7%DB%8C%DA%A9%D9%88%D9%84-%D9%85%D9%88%D9%86%D9%88-%D8%A7%D8%AA%DB%8C%D9%84-%D8%A7%D8%AA%D8%B1 | https://tamadkala.com/product/76267/%D8%AF%DB%8C-%D8%A7%D8%AA%DB%8C%D9%84%D9%86-%DA%AF%D9%84%DB%8C%DA%A9%D9%88%D9%84-%D9%85%D9%88%D9%86%D9%88-%D8%A7%D8%AA%DB%8C%D9%84-%D8%A7%D8%AA%D8%B1-%D8%AF%DA%A9%D8%AA%D8%B1-%D9%85%D8%AC%D9%84%D9%84 | https://www.chemicaliran.com/,explicit_category_supplement | router_title_normalization,9
2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetic acid,EDTA,60-00-4,6049,KCXVZYZYPLLWCC-UHFFFAOYSA-N,C10H16N2O8,292.24,,confirmed_organic,organic_reagent,yes,False | extra pure | research,DigiShimi | Fardad Shimi | TamadKala | Telegram: IranChemicals,Iranian online chemical shops | Iranian online lab-chemical shop | Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,site shows Iranian online shop | site shows Iranian online shops | site shows Iranian shop and nationwide delivery | skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetic acid | ا د ت آ (EDTA) ۱ کیلویی دکتر مجللی | ا د ت آ extra pure دکتر مجللی | ... | ادتا | ای دی تی آ edta قطران شیمی | ... | تیترانت edta دکتر مجللی | ...,https://digishimii.ir/Product/%d8%a7%d8%af%d8%aa%d8%a7/ | https://fardadshimi.com/product/6200686/ | https://t.me/IranChemicals/28352 | https://t.me/IranChemicals/28841,existing skill export | router_title_normalization,8
2-[[4-(dimethylamino)phenyl]diazenyl]benzoic acid,Methyl red,130-36-5,10303,CEQFOVLGLXCDCX-UHFFFAOYSA-N,C15H15N3O2,269.30,,confirmed_organic,colorant_or_indicator,not_stated,True,Fardad Shimi | TamadKala,Iranian online lab-chemical shop | Iranian online wholesale/lab shop,site shows Iranian online shop | site shows Iranian shop and nationwide delivery,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,متیل رد | متیل رد دکتر مجللی | متیل رد مرک MERCK,https://tamadkala.com/product/32900/%D9%85%D8%AA%DB%8C%D9%84-%D8%B1%D8%AF | https://tamadkala.com/product/76288/%D9%85%D8%AA%DB%8C%D9%84-%D8%B1%D8%AF-%D8%AF%DA%A9%D8%AA%D8%B1-%D9%85%D8%AC%D9%84%D9%84%DB%8C,router_title_normalization,3
