"# export_metadata: {""exported_at"": ""2026-08-23T03:30:25Z"", ""skill"": ""iran-chem-database@2.13.0 (clawhub: @orionshaowswmw/iran-chem-database)"", ""scope"": ""BEST-EFFORT dated index of organic molecules offered by verified IRANIAN suppliers (public Telegram channels + public supplier web catalogs), crawled 2026-08-23 from a foreign datacenter. NOT a claim of national completeness; coverage per source is in coverage_report.json."", ""rows"": 74, ""organic_rows"": 0, ""unknown_organic_rows"": 0, ""unique_molecules"": 74, ""ai_assisted_identities"": 194, ""channel_verification"": {""merckmillipore"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""labshop"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""minatajhiz"": {""verified"": true, ""country"": ""IR"", ""score"": 65, ""families"": [""domain"", ""language"", ""location""], ""level"": ""offline""}, ""ChemIranSanat"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""Maran_Tejarat_Eshen"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""jahaneshimicom"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""Ch_Chemical_leaders"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""Boof_company"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""fanchem"": {""verified"": true, ""country"": ""IR"", ""score"": 85, ""families"": [""domain"", ""language"", ""phone""], ""level"": ""offline""}, ""IranChemicals"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""chemgroup"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""LabTel"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}}, ""notes"": ""identity_method: alias=curated dictionary, cas_only(+pubchem), structured_alias/structured_pubchem=skill shape extractor, ai_resolved+=cloud model (router.py) + PubChem check. organic_status=unknown rows are unresolved records, kept per skill mandate, never silently discarded.""}"
molecule,cas,pubchem_cid,inchi_key,formula,molecular_weight,canonical_smiles,common_name,iupac_name,organic_status,identity_method,kind,grade,brand,sku,purity_percent,pack_size,availability,price,n_suppliers,suppliers,n_source_records,source_urls,date_range,text_evidence
oxo(oxochromiooxy)chromium,1308-38-9,517277,QDOXWKRWXJOMAK-UHFFFAOYSA-N,Cr2O3,151.99,,Chromia,oxo(oxochromiooxy)chromium,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:jahaneshimicom,1,,,سلام تری اکسید کروم موجود دارید؟09363497191
oxo(oxoferriooxy)iron,1309-37-1,518696,JEIPFZHSYJVQDO-UHFFFAOYSA-N,Fe2O3,159.69,,Iron oxide (Fe2O3),oxo(oxoferriooxy)iron,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:jahaneshimicom; telegram:chemgroup,1,,,سلام از شرکت شیمیایی رازی ام اکسید آهن خوراکی 25 کیلو موجود دارین ؟09162015515
tris(oxygen(2-));bis(yttrium(3+)),1314-36-9,159374,RUDFQVOCFDJEEF-UHFFFAOYSA-N,O3Y2,225.81,,Yttrium oxide,tris(oxygen(2-));bis(yttrium(3+)),inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:jahaneshimicom,1,,,سلام تترا اکسید سرب ۵۰ کیلو مورد نیاز است 09391982479
oxocalcium,1305-78-8,14778,ODINCKMPIJJUCX-UHFFFAOYSA-N,CaO,56.08,,Calcium Oxide,oxocalcium,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:jahaneshimicom,1,,,سلام دولومیت خوراکی برای تصفیه آب مورد نیاز است 09158873804
trifluoroiron,7783-50-8,24552,SHXXPRJOPFJRHA-UHFFFAOYSA-K,F3Fe,112.84,,Iron fluoride (FeF3),trifluoroiron,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:jahaneshimicom,1,,,سلام قرص فسفید منیزیم مورد نیاز است 09183427313
potassium sulfanide,1310-61-8,102109,ZOCLAPYLSUCOGI-UHFFFAOYSA-M,HKS,72.17,,Potassium bisulfide,potassium sulfanide,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:Maran_Tejarat_Eshen,1,,,"کاتالیزور ترشیو بوتیل پرکسی بنزوئات موجود می باشد. #ماران_تجارت_اشن 021-22799285,95 09128066375"
"disodium;3,7-dioxido-2,4,6,8,9-pentaoxa-1,3,5,7-tetraborabicyclo[3.3.1]nonane;decahydrate",1303-96-4,16211214,CDMADVZSLOHIFP-UHFFFAOYSA-N,B4H20Na2O17,381.4,,Borax (B4Na2O7.10H2O),"disodium;3,7-dioxido-2,4,6,8,9-pentaoxa-1,3,5,7-tetraborabicyclo[3.3.1]nonane;decahydrate",inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:jahaneshimicom,1,,,سلام وقت بخیر سایتکس 2000 موجود دارید؟ (پودر ضد شعله) 09123389609
neodymium,7440-00-8,23934,QEFYFXOXNSNQGX-UHFFFAOYSA-N,Nd,144.24,,neodymium,neodymium,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals,1,,,🔴 #جدول_مندلیف #فناوری #موج_چهارم 🔴 #جنگ و #سیاست 🟩 فلز نئودیمیم ؛ عنصر شماره ۶۰ 🔴 عنصری کمیاب که دنیای صنایع مدرن بدنبال آنند! ✅ چین - ژاپن - آمریکا - روسیه - اوکراین ...! https://youtu.be/vl0aiEpQI_4?si=Z-vGw5X85mz9xHs-
lithium,7439-93-2,3028194,WHXSMMKQMYFTQS-UHFFFAOYSA-N,Li,7.0,,lithium,lithium,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals,1,,,🔴 #دانستنی ها #صنعت 🔴 #جدول_مندلیف 🟩 پهنه لیتیوم ایران گسترش یافت ! 🔴 گزارش علمی از کشف یک ثروت ملی در ایران خبر ساز شد. ✅ بعد از معادن لیتیوم همدان ، سه منبع دیگر شناسایی شدند ! ✅ همچنان وجود لیتیوم در دریاچه ارومیه فاقد ارزش علمی و فنی است ! 🔸 اسفند ۱۴۰۳ https://youtu.be/ZPVhfB3n9Jk?si=o6_PgXBKQux
deuterated water,7789-20-0,24602,XLYOFNOQVPJJNP-ZSJDYOACSA-N,H2O,20.028,,Deuterium Oxide,deuterated water,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals,1,,,🔴 #فناوری هسته ای #انرژی 🟩 آب سنگین چیست و چرا اینقدر گران است ؟ 🔴 توضیح انواع تعدیل‌کننده ها در رآکتور هسته‌ای 🔸 از یحیی طباطبایی فیزیکدا ن 🔸 امرداد ۱۴۰۴ برابر اگوست ۲۰۲۵ 👇 https://youtu.be/pS5J36sENFw?si=FDuRxJEOQe-k3nd8
sodium,7440-23-5,5360545,KEAYESYHFKHZAL-UHFFFAOYSA-N,Na,22.9897693,,sodium,sodium,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals,1,,,🔴 #جدول_مندلیف 🟩 فلز منیزیم با عدد اتمی ۱۲ 🔴 عنصری مفید برای سلامتی و صنایع مختلف https://youtu.be/L1LDMn-8BdE?si=dCRoYE70EKcDUTj6
gold,7440-57-5,23985,PCHJSUWPFVWCPO-UHFFFAOYSA-N,Au,196.96657,,gold,gold,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals,1,,,🔴 #جدول_مندلیف #فناوری #موج_چهارم 🔴 #جنگ و #سیاست 🟩 فلز نئودیمیم ؛ عنصر شماره ۶۰ 🔴 عنصری کمیاب که دنیای صنایع مدرن بدنبال آنند! ✅ چین - ژاپن - آمریکا - روسیه - اوکراین ...! https://youtu.be/vl0aiEpQI_4?si=Z-vGw5X85mz9xHs-
helium,7440-59-7,23987,SWQJXJOGLNCZEY-UHFFFAOYSA-N,He,4.0026,,helium,helium,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals,1,,,🔴 #فناوری #جدول_مندلیف 🟩 تکمیل پایلوت استحصال گاز هلیوم از منابع گاز طبیعی 🔴 توسط دانشمندان صنعت هسته‌ای در سازمان انرژی اتمی ایران 🥇 🥇 🥇
sodium nitrate,7631-99-4,24268,VWDWKYIASSYTQR-UHFFFAOYSA-N,NNaO3,84.995,,sodium nitrate,sodium nitrate,inorganic,ai_resolved+cas_anchor+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals,1,,,🍀 🆘 🍀 🔴 #بهداشت 🟩 موضوع وایرال تغذیه ای این روزها ؛ هندونه و نیترات !!! 🔴 پست بعدی را حتما ملاحظه فرمایید تا اطلاعات علمی بیشتری در پورد نخوه تست نیترات مواد غذایی بدست آورید ! 🆘 🍀 🆘
bismuth,7440-69-9,5359367,JCXGWMGPZLAOME-UHFFFAOYSA-N,Bi,208.9804,,bismuth,bismuth,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:chemgroup,1,,,بیسموت که به صورت مصنوعی سنتز شده‌است در سطح بلور لایه بسیار نازکی اکسیده شده و نمای رنگین کمانی ایجاد کرده‌است برای مقایسه بهتر ۱ سانتی‌متر مکعب بیسموت با خلوص ۹۹٫۹۹٪ در تصویر دیده می‌شود @ChemGroup
sodium chloride,7647-14-5,5234,FAPWRFPIFSIZLT-UHFFFAOYSA-M,ClNa,58.44,,sodium chloride,sodium chloride,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:chemgroup,1,,,◻️ مراحل انحلال NaCl در آب بلور سدیم کلرید طی سه مرحله در آب حل می شود كه اين مراحل همزمان می باشند: ١)فرو پاشی شبكه ٢)جدا شدن مولكول های آب ٣)آبپوشی يونها #ارسالی_کاربران @ChemGroup
molecular hydrogen,1333-74-0,783,UFHFLCQGNIYNRP-UHFFFAOYSA-N,H2,2.016,,Hydrogen,molecular hydrogen,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:chemgroup,1,,,🎥 آتش نگرفتن گاز هیدروژن در غیاب اکسیژن یک چوب کبریت را درون کیسه پلاستیکی محتوی گاز هیدروژن روشن می کنند، گاز هیدروژن به دلیل عدم حضور گاز اکسیژن نمی سوزد. #ارسالی_کاربران @ChemGroup
tungsten,7440-33-7,23964,WFKWXMTUELFFGS-UHFFFAOYSA-N,W,183.84,,tungsten,tungsten,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:chemgroup; telegram:IranChemicals,1,,,🎥 لامپ التهابی التهاب رشته تنگستنی درون نیتروژن مایع. به محض خروج رشته تنگستن ملتهب از نیتروژن مایع، رشته تنگستن با اکسیژن هوا واکنش می دهد و می سوزد. #ارسالی_کاربران @ChemGroup
manganese,7439-96-5,23930,PWHULOQIROXLJO-UHFFFAOYSA-N,Mn,54.93804,,manganese,manganese,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:chemgroup,1,,,📽 گالیم مایع قادر به آلیاژ شدن با فلزات خاص است. در نتیجه، آلیاژ گالیم بسیار شکننده می شوند. #ارسالی_کاربران @ChemGroup
carbon dioxide,124-38-9,280,CURLTUGMZLYLDI-UHFFFAOYSA-N,CO2,44.009,,carbon dioxide,carbon dioxide,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals; telegram:chemgroup,1,,,📊 چقدر دی اکسید کربن بیشتر می‌توانیم منتشر کنیم در حالی که دمای هوا زیر ۱.۵، ۱.۷ و ۲ درجه سانتیگراد باقی می‌ماند؟ بودجه CO₂ جهان چقدر است؟ 🟢 توافق پاریس ۲۰۱۵ هدف‌گذاری کرده که افزایش دمای جهان زیر ۲°C و نزدیک ۱.۵°C باقی بماند. برای رسیدن به این هدف، محدودیت‌هایی در انتشار دی‌اکسید کربن (CO₂) وجود دا
dioxozirconium,1314-23-4,62395,MCMNRKCIXSYSNV-UHFFFAOYSA-N,O2Zr,123.22,,Zirconium dioxide,dioxozirconium,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,Chemical Iran,1,,,"Sodium Sulfide Red Flakes 60% 1500 PPM. Chemicals, Dyes, Mining &amp; Metallurgy, Paints &amp; Coatings, Textile. Origin: Iran Packing: 25 KG PP/PE bags in Jumbo bags Minimum Order Quantity : 1 full container / truck Payment term: 100% in advance – T/T Why Chemical Iran: 24×7 Support Top Quality Pro"
arsenic,7440-38-2,5359596,RQNWIZPPADIBDY-UHFFFAOYSA-N,As,74.92159,,arsenic,arsenic,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals,1,,,🔴 #جدول_مندلیف #فناوری 🟩 شبه فلز آنتیموان با عدد اتمی ۵۱ 🔴 ضد سرطان، همراه صنعت، دوست فناوری و تسلیحات https://youtu.be/Oo6RofKVYls?si=9Hpqi5sgR3ecYDk9
thallium,7440-28-0,5359464,BKVIYDNLLOSFOA-UHFFFAOYSA-N,Tl,204.383,,thallium,thallium,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals,1,,,🔴 #جدول_مندلیف 🟩 توریم ؛ فلز پرتوزا با عدد اتمی ۹۰ 🔴 عنصری که میتواند جایگزین پاک اورانیوم و پلوتونیم شود ! 🔴 ولی کمی اما داره ! https://youtu.be/vSW3_EXqiQc?si=QipwzsVdEIWSxaTi
silver,7440-22-4,23954,BQCADISMDOOEFD-UHFFFAOYSA-N,Ag,107.868,,silver,silver,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals,1,,,📹 حباب نقره ترکید؟ ▫️ بررسی دقیق‌تر نشان می‌دهد آنچه رخ داده، بیشتر یک شوک فنی بوده تا فروپاشی قیمتی. ▫️ ماجرا از جایی شروع شد که بورس کالای شیکاگو (CME) به‌طور ناگهانی مارجین قراردادهای نقره را از حدود ۳ هزار دلار به نزدیک ۲۵ هزار دلار افزایش داد. ▫️ این تصمیم فشار سنگینی به معامله‌گران اهرمی وارد
copper,7440-50-8,23978,RYGMFSIKBFXOCR-UHFFFAOYSA-N,Cu,63.55,,copper,copper,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals; telegram:chemgroup,1,,,​ سلطه چین: چین ظرفیت ذوب خود را به شدت گسترش داده و اکنون بیش از ۵۰٪ ظرفیت پالایش جهان را در اختیار دارد. ​ جنگ تعرفه‌ها: در سال ۲۰۲۶، بحث‌هایی در غرب مطرح است که بر مس تصفیه شده در چین، «تعرفه کربن» یا «مالیات سبز» وضع کنند تا وابستگی به پالایشگاه‌های چینی کاهش یابد. ​۴. مس در قلب هوش مصنوعی و محا
antimony,7440-36-0,5354495,WATWJIUSRGPENY-UHFFFAOYSA-N,Sb,121.76,,antimony,antimony,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals,1,,,🔴 #جدول_مندلیف #فناوری 🟩 شبه فلز آنتیموان با عدد اتمی ۵۱ 🔴 ضد سرطان، همراه صنعت، دوست فناوری و تسلیحات https://youtu.be/Oo6RofKVYls?si=9Hpqi5sgR3ecYDk9
mercury,7439-97-6,23931,QSHDDOUJBYECFT-UHFFFAOYSA-N,Hg,200.59,,mercury,mercury,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals,1,,,🔴 #جدول_مندلیف 🟩 جیوه ؛ عنصری با عدد اتمی ۸۰ 🔴 آب نقره ای ؛ فلزی عجیب فاقد معدن که باید بشناسیم https://youtu.be/62LD7jcH5T0?si=EIXYlL29KZVXkZt5
sulfane,7704-34-9,5362487,NINIDFKCEFEMDL-UHFFFAOYSA-N,S,32.07,,Sulfur,sulfane,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:chemgroup,1,,,تبلور گوگرد #ارسالی_کاربران @ChemGroup
tin(2+) sulfide,1314-95-0,10130046,DZXKSFDSPBRJPS-UHFFFAOYSA-N,SSn,150.78,,Tin sulfide (SnS),tin(2+) sulfide,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:chemgroup,1,,,تصوير SEM رنگ شده از قلع سولفيد (||)؛ با نام قبرستان نانو مقياس #ارسالی_کاربران @ChemGroup
molecular bromine,7726-95-6,24408,GDTBXPJZTBHREO-UHFFFAOYSA-N,Br2,159.81,,Bromine,molecular bromine,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:chemgroup,1,,,🎥 برم جامد، مایع و گاز #ارسالی_کاربران @ChemGroup
