公历日期,农历信息,农历年,农历月,农历日,年干支,月干支,日干支,节气,,,,,,,,,,,
2026/7/26,丙午年六月 十三日 乙未月 辛丑日,丙午年,六月,十三,丙午,乙未,辛丑,,,,,,,,,,,,
2026/7/27,丙午年六月 十四日 乙未月 壬寅日,丙午年,六月,十四,丙午,乙未,壬寅,,,,,,,,,,,,
2026/7/28,丙午年六月 十五日 乙未月 癸卯日,丙午年,六月,十五,丙午,乙未,癸卯,,,,,,,,,,,,
2026/7/29,丙午年六月 十六日 乙未月 甲辰日,丙午年,六月,十六,丙午,乙未,甲辰,,,,,,,,,,,,
2026/7/30,丙午年六月 十七日 乙未月 乙巳日,丙午年,六月,十七,丙午,乙未,乙巳,,,,,,,,,,,,
2026/7/31,丙午年六月 十八日 乙未月 丙午日,丙午年,六月,十八,丙午,乙未,丙午,,,,,,,,,,,,
2026/8/1,丙午年六月 十九日 乙未月 丁未日,丙午年,六月,十九,丙午,乙未,丁未,,,,,,,,,,,,
2026/8/2,丙午年六月 二十日 乙未月 戊申日,丙午年,六月,二十,丙午,乙未,戊申,,,,,,,,,,,,
2026/8/3,丙午年六月 廿一日 乙未月 己酉日,丙午年,六月,廿一,丙午,乙未,己酉,,,,,,,,,,,,
2026/8/4,丙午年六月 廿二日 乙未月 庚戌日,丙午年,六月,廿二,丙午,乙未,庚戌,,,,,,,,,,,,
2026/8/5,丙午年六月 廿三日 乙未月 辛亥日,丙午年,六月,廿三,丙午,乙未,辛亥,,,,,,,,,,,,
2026/8/6,丙午年六月 廿四日 乙未月 壬子日,丙午年,六月,廿四,丙午,乙未,壬子,,,,,,,,,,,,
2026/8/7,丙午年六月 廿五日 丙申月 癸丑日 立秋,丙午年,六月,廿五,丙午,丙申,癸丑,立秋,,,,,,,,,,,
2026/8/8,丙午年六月 廿六日 丙申月 甲寅日,丙午年,六月,廿六,丙午,丙申,甲寅,,,,,,,,,,,,
2026/8/9,丙午年六月 廿七日 丙申月 乙卯日,丙午年,六月,廿七,丙午,丙申,乙卯,,,,,,,,,,,,
2026/8/10,丙午年六月 廿八日 丙申月 丙辰日,丙午年,六月,廿八,丙午,丙申,丙辰,,,,,,,,,,,,
2026/8/11,丙午年六月 廿九日 丙申月 丁巳日,丙午年,六月,廿九,丙午,丙申,丁巳,,,,,,,,,,,,
2026/8/12,丙午年六月 三十日 丙申月 戊午日,丙午年,六月,三十,丙午,丙申,戊午,,,,,,,,,,,,
2026/8/13,丙午年七月十四 日 丙申月 己未日,丙午年,七月十四,,丙午,丙申,己未,,,,,,,,,,,,
2026/8/14,丙午年七月十五 日 丙申月 庚申日,丙午年,七月十五,,丙午,丙申,庚申,,,,,,,,,,,,
2026/8/15,丙午年七月十六 日 丙申月 辛酉日,丙午年,七月十六,,丙午,丙申,辛酉,,,,,,,,,,,,
2026/8/16,丙午年七月十七 日 丙申月 壬戌日,丙午年,七月十七,,丙午,丙申,壬戌,,,,,,,,,,,,
2026/8/17,丙午年七月十八 日 丙申月 癸亥日,丙午年,七月十八,,丙午,丙申,癸亥,,,,,,,,,,,,
2026/8/18,丙午年七月十九 日 丙申月 甲子日,丙午年,七月十九,,丙午,丙申,甲子,,,,,,,,,,,,
2026/8/19,丙午年七月二十 日 丙申月 乙丑日,丙午年,七月二十,,丙午,丙申,乙丑,,,,,,,,,,,,
2026/8/20,丙午年七月廿一 日 丙申月 丙寅日,丙午年,七月廿一,,丙午,丙申,丙寅,,,,,,,,,,,,
2026/8/21,丙午年七月廿二 日 丙申月 丁卯日,丙午年,七月廿二,,丙午,丙申,丁卯,,,,,,,,,,,,
2026/8/22,丙午年七月廿三 日 丙申月 戊辰日 处暑,丙午年,七月廿三,,丙午,丙申,戊辰,处暑,,,,,,,,,,,
2026/8/23,丙午年七月廿四 日 丙申月 己巳日,丙午年,七月廿四,,丙午,丙申,己巳,,,,,,,,,,,,
2026/8/24,丙午年七月廿五 日 丙申月 庚午日,丙午年,七月廿五,,丙午,丙申,庚午,,,,,,,,,,,,
2026/8/25,丙午年七月廿六 日 丙申月 辛未日,丙午年,七月廿六,,丙午,丙申,辛未,,,,,,,,,,,,
2026/8/26,丙午年七月廿七 日 丙申月 壬申日,丙午年,七月廿七,,丙午,丙申,壬申,,,,,,,,,,,,
2026/8/27,丙午年七月廿八 日 丙申月 癸酉日,丙午年,七月廿八,,丙午,丙申,癸酉,,,,,,,,,,,,
2026/8/28,丙午年七月廿九 日 丙申月 甲戌日,丙午年,七月廿九,,丙午,丙申,甲戌,,,,,,,,,,,,
2026/8/29,丙午年八月初一 日 丙申月 乙亥日,丙午年,八月初一,,丙午,丙申,乙亥,,,,,,,,,,,,
2026/8/30,丙午年八月初二 日 丙申月 丙子日,丙午年,八月初二,,丙午,丙申,丙子,,,,,,,,,,,,
2026/8/31,丙午年八月初三 日 丙申月 丁丑日,丙午年,八月初三,,丙午,丙申,丁丑,,,,,,,,,,,,
2026/9/1,丙午年八月初四 日 丙申月 戊寅日,丙午年,八月初四,,丙午,丙申,戊寅,,,,,,,,,,,,
2026/9/2,丙午年八月初五 日 丙申月 己卯日,丙午年,八月初五,,丙午,丙申,己卯,,,,,,,,,,,,
2026/9/3,丙午年八月初六 日 丙申月 庚辰日,丙午年,八月初六,,丙午,丙申,庚辰,,,,,,,,,,,,
2026/9/4,丙午年八月初七 日 丙申月 辛巳日,丙午年,八月初七,,丙午,丙申,辛巳,,,,,,,,,,,,
2026/9/5,丙午年八月初八 日 丙申月 壬午日,丙午年,八月初八,,丙午,丙申,壬午,,,,,,,,,,,,
2026/9/6,丙午年八月初九 日 丙申月 癸未日,丙午年,八月初九,,丙午,丙申,癸未,,,,,,,,,,,,
2026/9/7,丙午年八月初十 日 丁酉月 甲申日 白露,丙午年,八月初十,,丙午,丁酉,甲申,白露,,,,,,,,,,,
2026/9/8,丙午年八月十一 日 丁酉月 乙酉日,丙午年,八月十一,,丙午,丁酉,乙酉,,,,,,,,,,,,
2026/9/9,丙午年八月十二 日 丁酉月 丙戌日,丙午年,八月十二,,丙午,丁酉,丙戌,,,,,,,,,,,,
2026/9/10,丙午年八月十三 日 丁酉月 丁亥日,丙午年,八月十三,,丙午,丁酉,丁亥,,,,,,,,,,,,
2026/9/11,丙午年八月十四 日 丁酉月 戊子日,丙午年,八月十四,,丙午,丁酉,戊子,,,,,,,,,,,,
2026/9/12,丙午年八月十五 日 丁酉月 己丑日,丙午年,八月十五,,丙午,丁酉,己丑,,,,,,,,,,,,
2026/9/13,丙午年八月十六 日 丁酉月 庚寅日,丙午年,八月十六,,丙午,丁酉,庚寅,,,,,,,,,,,,
2026/9/14,丙午年八月十七 日 丁酉月 辛卯日,丙午年,八月十七,,丙午,丁酉,辛卯,,,,,,,,,,,,
2026/9/15,丙午年八月十八 日 丁酉月 壬辰日,丙午年,八月十八,,丙午,丁酉,壬辰,,,,,,,,,,,,
2026/9/16,丙午年八月十九 日 丁酉月 癸巳日,丙午年,八月十九,,丙午,丁酉,癸巳,,,,,,,,,,,,
2026/9/17,丙午年八月二十 日 丁酉月 甲午日,丙午年,八月二十,,丙午,丁酉,甲午,,,,,,,,,,,,
2026/9/18,丙午年八月廿一 日 丁酉月 乙未日,丙午年,八月廿一,,丙午,丁酉,乙未,,,,,,,,,,,,
2026/9/19,丙午年八月廿二 日 丁酉月 丙申日,丙午年,八月廿二,,丙午,丁酉,丙申,,,,,,,,,,,,
2026/9/20,丙午年八月廿三 日 丁酉月 丁酉日,丙午年,八月廿三,,丙午,丁酉,丁酉,,,,,,,,,,,,
2026/9/21,丙午年八月廿四 日 丁酉月 戊戌日,丙午年,八月廿四,,丙午,丁酉,戊戌,,,,,,,,,,,,
2026/9/22,丙午年八月廿五 日 丁酉月 己亥日,丙午年,八月廿五,,丙午,丁酉,己亥,,,,,,,,,,,,
2026/9/23,丙午年八月廿六 日 丁酉月 庚子日 秋分,丙午年,八月廿六,,丙午,丁酉,庚子,秋分,,,,,,,,,,,
2026/9/24,丙午年八月廿七 日 丁酉月 辛丑日,丙午年,八月廿七,,丙午,丁酉,辛丑,,,,,,,,,,,,
2026/9/25,丙午年八月廿八 日 丁酉月 壬寅日,丙午年,八月廿八,,丙午,丁酉,壬寅,,,,,,,,,,,,
2026/9/26,丙午年八月廿九 日 丁酉月 癸卯日,丙午年,八月廿九,,丙午,丁酉,癸卯,,,,,,,,,,,,
2026/9/27,丙午年九月初一 日 丁酉月 甲辰日,丙午年,九月初一,,丙午,丁酉,甲辰,,,,,,,,,,,,
2026/9/28,丙午年九月初二 日 丁酉月 乙巳日,丙午年,九月初二,,丙午,丁酉,乙巳,,,,,,,,,,,,
2026/9/29,丙午年九月初三 日 丁酉月 丙午日,丙午年,九月初三,,丙午,丁酉,丙午,,,,,,,,,,,,
2026/9/30,丙午年九月初四 日 丁酉月 丁未日,丙午年,九月初四,,丙午,丁酉,丁未,,,,,,,,,,,,
2026/10/1,丙午年九月初五 日 丁酉月 戊申日,丙午年,九月初五,,丙午,丁酉,戊申,,,,,,,,,,,,
2026/10/2,丙午年九月初六 日 丁酉月 己酉日,丙午年,九月初六,,丙午,丁酉,己酉,,,,,,,,,,,,
2026/10/3,丙午年九月初七 日 丁酉月 庚戌日,丙午年,九月初七,,丙午,丁酉,庚戌,,,,,,,,,,,,
2026/10/4,丙午年九月初八 日 丁酉月 辛亥日,丙午年,九月初八,,丙午,丁酉,辛亥,,,,,,,,,,,,
2026/10/5,丙午年九月初九 日 丁酉月 壬子日,丙午年,九月初九,,丙午,丁酉,壬子,,,,,,,,,,,,
2026/10/6,丙午年九月初十 日 丁酉月 癸丑日,丙午年,九月初十,,丙午,丁酉,癸丑,,,,,,,,,,,,
2026/10/7,丙午年九月十一 日 丁酉月 甲寅日,丙午年,九月十一,,丙午,丁酉,甲寅,,,,,,,,,,,,
2026/10/8,丙午年九月十二 日 戊戌月 乙卯日 寒露,丙午年,九月十二,,丙午,戊戌,乙卯,寒露,,,,,,,,,,,
2026/10/9,丙午年九月十三 日 戊戌月 丙辰日,丙午年,九月十三,,丙午,戊戌,丙辰,,,,,,,,,,,,
2026/10/10,丙午年九月十四 日 戊戌月 丁巳日,丙午年,九月十四,,丙午,戊戌,丁巳,,,,,,,,,,,,
2026/10/11,丙午年九月十五 日 戊戌月 戊午日,丙午年,九月十五,,丙午,戊戌,戊午,,,,,,,,,,,,
2026/10/12,丙午年九月十六 日 戊戌月 己未日,丙午年,九月十六,,丙午,戊戌,己未,,,,,,,,,,,,
2026/10/13,丙午年九月十七 日 戊戌月 庚申日,丙午年,九月十七,,丙午,戊戌,庚申,,,,,,,,,,,,
2026/10/14,丙午年九月十八 日 戊戌月 辛酉日,丙午年,九月十八,,丙午,戊戌,辛酉,,,,,,,,,,,,
2026/10/15,丙午年九月十九 日 戊戌月 壬戌日,丙午年,九月十九,,丙午,戊戌,壬戌,,,,,,,,,,,,
2026/10/16,丙午年九月二十 日 戊戌月 癸亥日,丙午年,九月二十,,丙午,戊戌,癸亥,,,,,,,,,,,,
2026/10/17,丙午年九月廿一 日 戊戌月 甲子日,丙午年,九月廿一,,丙午,戊戌,甲子,,,,,,,,,,,,
2026/10/18,丙午年九月廿二 日 戊戌月 乙丑日,丙午年,九月廿二,,丙午,戊戌,乙丑,,,,,,,,,,,,
2026/10/19,丙午年九月廿三 日 戊戌月 丙寅日,丙午年,九月廿三,,丙午,戊戌,丙寅,,,,,,,,,,,,
2026/10/20,丙午年九月廿四 日 戊戌月 丁卯日,丙午年,九月廿四,,丙午,戊戌,丁卯,,,,,,,,,,,,
2026/10/21,丙午年九月廿五 日 戊戌月 戊辰日,丙午年,九月廿五,,丙午,戊戌,戊辰,,,,,,,,,,,,
2026/10/22,丙午年九月廿六 日 戊戌月 己巳日,丙午年,九月廿六,,丙午,戊戌,己巳,,,,,,,,,,,,
2026/10/23,丙午年九月廿七 日 戊戌月 庚午日 霜降,丙午年,九月廿七,,丙午,戊戌,庚午,霜降,,,,,,,,,,,
2026/10/24,丙午年九月廿八 日 戊戌月 辛未日,丙午年,九月廿八,,丙午,戊戌,辛未,,,,,,,,,,,,
2026/10/25,丙午年九月廿九 日 戊戌月 壬申日,丙午年,九月廿九,,丙午,戊戌,壬申,,,,,,,,,,,,
2026/10/26,丙午年十月初一 日 戊戌月 癸酉日,丙午年,十月初一,,丙午,戊戌,癸酉,,,,,,,,,,,,
2026/10/27,丙午年十月初二 日 戊戌月 甲戌日,丙午年,十月初二,,丙午,戊戌,甲戌,,,,,,,,,,,,
2026/10/28,丙午年十月初三 日 戊戌月 乙亥日,丙午年,十月初三,,丙午,戊戌,乙亥,,,,,,,,,,,,
2026/10/29,丙午年十月初四 日 戊戌月 丙子日,丙午年,十月初四,,丙午,戊戌,丙子,,,,,,,,,,,,
2026/10/30,丙午年十月初五 日 戊戌月 丁丑日,丙午年,十月初五,,丙午,戊戌,丁丑,,,,,,,,,,,,
2026/10/31,丙午年十月初六 日 戊戌月 戊寅日,丙午年,十月初六,,丙午,戊戌,戊寅,,,,,,,,,,,,
2026/11/1,丙午年十月初七 日 戊戌月 己卯日,丙午年,十月初七,,丙午,戊戌,己卯,,,,,,,,,,,,
2026/11/2,丙午年十月初八 日 戊戌月 庚辰日,丙午年,十月初八,,丙午,戊戌,庚辰,,,,,,,,,,,,
2026/11/3,丙午年十月初九 日 戊戌月 辛巳日,丙午年,十月初九,,丙午,戊戌,辛巳,,,,,,,,,,,,
2026/11/4,丙午年十月初十 日 戊戌月 壬午日,丙午年,十月初十,,丙午,戊戌,壬午,,,,,,,,,,,,
2026/11/5,丙午年十月十一 日 戊戌月 癸未日,丙午年,十月十一,,丙午,戊戌,癸未,,,,,,,,,,,,
2026/11/6,丙午年十月十二 日 戊戌月 甲申日,丙午年,十月十二,,丙午,戊戌,甲申,,,,,,,,,,,,
2026/11/7,丙午年十月十三 日 己亥月 乙酉日 立冬,丙午年,十月十三,,丙午,己亥,乙酉,立冬,,,,,,,,,,,
2026/11/8,丙午年十月十四 日 己亥月 丙戌日,丙午年,十月十四,,丙午,己亥,丙戌,,,,,,,,,,,,
2026/11/9,丙午年十月十五 日 己亥月 丁亥日,丙午年,十月十五,,丙午,己亥,丁亥,,,,,,,,,,,,
2026/11/10,丙午年十月十六 日 己亥月 戊子日,丙午年,十月十六,,丙午,己亥,戊子,,,,,,,,,,,,
2026/11/11,丙午年十月十七 日 己亥月 己丑日,丙午年,十月十七,,丙午,己亥,己丑,,,,,,,,,,,,
2026/11/12,丙午年十月十八 日 己亥月 庚寅日,丙午年,十月十八,,丙午,己亥,庚寅,,,,,,,,,,,,
2026/11/13,丙午年十月十九 日 己亥月 辛卯日,丙午年,十月十九,,丙午,己亥,辛卯,,,,,,,,,,,,
2026/11/14,丙午年十月二十 日 己亥月 壬辰日,丙午年,十月二十,,丙午,己亥,壬辰,,,,,,,,,,,,
2026/11/15,丙午年十月廿一 日 己亥月 癸巳日,丙午年,十月廿一,,丙午,己亥,癸巳,,,,,,,,,,,,
2026/11/16,丙午年十月廿二 日 己亥月 甲午日,丙午年,十月廿二,,丙午,己亥,甲午,,,,,,,,,,,,
2026/11/17,丙午年十月廿三 日 己亥月 乙未日,丙午年,十月廿三,,丙午,己亥,乙未,,,,,,,,,,,,
2026/11/18,丙午年十月廿四 日 己亥月 丙申日,丙午年,十月廿四,,丙午,己亥,丙申,,,,,,,,,,,,
2026/11/19,丙午年十月廿五 日 己亥月 丁酉日,丙午年,十月廿五,,丙午,己亥,丁酉,,,,,,,,,,,,
2026/11/20,丙午年十月廿六 日 己亥月 戊戌日,丙午年,十月廿六,,丙午,己亥,戊戌,,,,,,,,,,,,
2026/11/21,丙午年十月廿七 日 己亥月 己亥日,丙午年,十月廿七,,丙午,己亥,己亥,,,,,,,,,,,,
2026/11/22,丙午年十月廿八 日 己亥月 庚子日 小雪,丙午年,十月廿八,,丙午,己亥,庚子,小雪,,,,,,,,,,,
2026/11/23,丙午年十月廿九 日 己亥月 辛丑日,丙午年,十月廿九,,丙午,己亥,辛丑,,,,,,,,,,,,
2026/11/24,丙午年十一月初一 日 己亥月 壬寅日,丙午年,十一月初一,,丙午,己亥,壬寅,,,,,,,,,,,,
2026/11/25,丙午年十一月初二 日 己亥月 癸卯日,丙午年,十一月初二,,丙午,己亥,癸卯,,,,,,,,,,,,
2026/11/26,丙午年十一月初三 日 己亥月 甲辰日,丙午年,十一月初三,,丙午,己亥,甲辰,,,,,,,,,,,,
2026/11/27,丙午年十一月初四 日 己亥月 乙巳日,丙午年,十一月初四,,丙午,己亥,乙巳,,,,,,,,,,,,
2026/11/28,丙午年十一月初五 日 己亥月 丙午日,丙午年,十一月初五,,丙午,己亥,丙午,,,,,,,,,,,,
2026/11/29,丙午年十一月初六 日 己亥月 丁未日,丙午年,十一月初六,,丙午,己亥,丁未,,,,,,,,,,,,
2026/11/30,丙午年十一月初七 日 己亥月 戊申日,丙午年,十一月初七,,丙午,己亥,戊申,,,,,,,,,,,,
2026/12/1,丙午年十一月初八 日 己亥月 己酉日,丙午年,十一月初八,,丙午,己亥,己酉,,,,,,,,,,,,
2026/12/2,丙午年十一月初九 日 己亥月 庚戌日,丙午年,十一月初九,,丙午,己亥,庚戌,,,,,,,,,,,,
2026/12/3,丙午年十一月初十 日 己亥月 辛亥日,丙午年,十一月初十,,丙午,己亥,辛亥,,,,,,,,,,,,
2026/12/4,丙午年十一月十一 日 己亥月 壬子日,丙午年,十一月十一,,丙午,己亥,壬子,,,,,,,,,,,,
2026/12/5,丙午年十一月十二 日 己亥月 癸丑日,丙午年,十一月十二,,丙午,己亥,癸丑,,,,,,,,,,,,
2026/12/6,丙午年十一月十三 日 己亥月 甲寅日,丙午年,十一月十三,,丙午,己亥,甲寅,,,,,,,,,,,,
2026/12/7,丙午年十一月十四 日 庚子月 乙卯日 大雪,丙午年,十一月十四,,丙午,庚子,乙卯,大雪,,,,,,,,,,,
2026/12/8,丙午年十一月十五 日 庚子月 丙辰日,丙午年,十一月十五,,丙午,庚子,丙辰,,,,,,,,,,,,
2026/12/9,丙午年十一月十六 日 庚子月 丁巳日,丙午年,十一月十六,,丙午,庚子,丁巳,,,,,,,,,,,,
2026/12/10,丙午年十一月十七 日 庚子月 戊午日,丙午年,十一月十七,,丙午,庚子,戊午,,,,,,,,,,,,
2026/12/11,丙午年十一月十八 日 庚子月 己未日,丙午年,十一月十八,,丙午,庚子,己未,,,,,,,,,,,,
2026/12/12,丙午年十一月十九 日 庚子月 庚申日,丙午年,十一月十九,,丙午,庚子,庚申,,,,,,,,,,,,
2026/12/13,丙午年十一月二十 日 庚子月 辛酉日,丙午年,十一月二十,,丙午,庚子,辛酉,,,,,,,,,,,,
2026/12/14,丙午年十一月廿一 日 庚子月 壬戌日,丙午年,十一月廿一,,丙午,庚子,壬戌,,,,,,,,,,,,
2026/12/15,丙午年十一月廿二 日 庚子月 癸亥日,丙午年,十一月廿二,,丙午,庚子,癸亥,,,,,,,,,,,,
2026/12/16,丙午年十一月廿三 日 庚子月 甲子日,丙午年,十一月廿三,,丙午,庚子,甲子,,,,,,,,,,,,
2026/12/17,丙午年十一月廿四 日 庚子月 乙丑日,丙午年,十一月廿四,,丙午,庚子,乙丑,,,,,,,,,,,,
2026/12/18,丙午年十一月廿五 日 庚子月 丙寅日,丙午年,十一月廿五,,丙午,庚子,丙寅,,,,,,,,,,,,
2026/12/19,丙午年十一月廿六 日 庚子月 丁卯日,丙午年,十一月廿六,,丙午,庚子,丁卯,,,,,,,,,,,,
2026/12/20,丙午年十一月廿七 日 庚子月 戊辰日,丙午年,十一月廿七,,丙午,庚子,戊辰,,,,,,,,,,,,
2026/12/21,丙午年十一月廿八 日 庚子月 己巳日,丙午年,十一月廿八,,丙午,庚子,己巳,,,,,,,,,,,,
2026/12/22,丙午年十一月廿九 日 庚子月 庚午日 冬至,丙午年,十一月廿九,,丙午,庚子,庚午,冬至,,,,,,,,,,,
2026/12/23,丙午年腊月初一 日 庚子月 辛未日,丙午年,腊月初一,,丙午,庚子,辛未,,,,,,,,,,,,
2026/12/24,丙午年腊月初二 日 庚子月 壬申日,丙午年,腊月初二,,丙午,庚子,壬申,,,,,,,,,,,,
2026/12/25,丙午年腊月初三 日 庚子月 癸酉日,丙午年,腊月初三,,丙午,庚子,癸酉,,,,,,,,,,,,
2026/12/26,丙午年腊月初四 日 庚子月 甲戌日,丙午年,腊月初四,,丙午,庚子,甲戌,,,,,,,,,,,,
2026/12/27,丙午年腊月初五 日 庚子月 乙亥日,丙午年,腊月初五,,丙午,庚子,乙亥,,,,,,,,,,,,
2026/12/28,丙午年腊月初六 日 庚子月 丙子日,丙午年,腊月初六,,丙午,庚子,丙子,,,,,,,,,,,,
2026/12/29,丙午年腊月初七 日 庚子月 丁丑日,丙午年,腊月初七,,丙午,庚子,丁丑,,,,,,,,,,,,
2026/12/30,丙午年腊月初八 日 庚子月 戊寅日,丙午年,腊月初八,,丙午,庚子,戊寅,,,,,,,,,,,,
2026/12/31,丙午年腊月初九 日 庚子月 己卯日,丙午年,腊月初九,,丙午,庚子,己卯,,,,,,,,,,,,
