卦象,命中总数,本卦理,本卦,之卦理,之卦,朱子占断,南师占断,朱子解读(AI),南师解读(AI),日常事务建议
679878,0,011010,井,110010,节,以上爻为主：【本卦井·三爻辞】九三：井渫(xiè，清)不食，为我心恻，可以汲。王明，并受其福｜参【初爻辞】初六：井泥不食，旧井无禽,取阴爻（主未来）：【本卦井·初爻辞】初六：井泥不食，旧井无禽,井变节，初三两爻动，朱子断二爻变以上爻为主、参下爻。九三'井渫不食，为我心恻，可以汲。王明，并受其福'——井已淘清而无人汲饮，使人怅恻，其实水清可用，若逢明君则上下同受其福。占得此卦：身怀才德而未见用，宜守洁自持、不改其清，静待明上之知遇，则才有所施、福泽广被；再参初六'井泥不食，旧井无禽'，井浊废弃则人禽俱不顾，戒人勿自污自弃、当常修其德。,两爻动，南师取那个阴爻管未来——井卦初六'井泥不食，旧井无禽'。井底全是淤泥，水脏得没人喝；一口荒废的老井，连飞鸟野兽都不来。南师讲得很实在：人要是自暴自弃、不修不整，就跟这口废井一样，慢慢就被人忘了、被时代淘汰了。提醒你别让自己'落泥'——本事要常磨、人要常清理自己。井一旦荒了，再想有人来打水，难。趁早把淤泥淘干净。,工作：处境低谷才未得用，节用蓄力待转机｜家庭：家底渐薄宜节俭，守护根本｜出行：不宜远行冒进，静守为妥｜财富：井泥无功防枯竭，节流积蓄勿浪投｜交友：旧交渐疏择善续，勿滥交｜学业：基础薄弱须补起，忌自弃｜健康：元气偏虚宜静养，节劳节欲｜诉讼：处势不利宜守静，勿强争空耗
679879,0,011011,巽,110010,节,本卦为主：【本卦巽·卦辞】巽，小亨，利有攸往，利见大人｜参【之卦节·卦辞】节，亨，苦节不可贞,取所动中爻：【本卦巽·三爻辞】九三：频巽，吝,巽变节，初三上三爻动，朱子断三爻变以本卦卦辞为主、参之卦。'巽，小亨，利有攸往，利见大人'——巽者顺也、入也，以柔顺巽入故小有亨通，宜有所往、宜见大德之人以成其事。占得此卦：宜以谦顺之道行事，顺势而入、依贤而进，则虽不能大成亦可小达；再参之卦'节，亨，苦节不可贞'，行进之中当知节制，节而适中则通，过分自苦其节则不可久守，柔顺亦须有度。,三爻动，南师取所动的中间那一爻——巽卦九三'频巽，吝'。一次又一次地低头服软、反复迁就，最后落个'吝'，叫人难为情。南师说，谦虚顺从是好事，可凡事过了头就变味——老是没主见地随风倒、见谁都点头哈腰，别人不但不领情，反而看轻你。做人要顺，但得有底线、有定见。该弯腰时弯腰，该挺直时挺直，一味地软到底，只会把自己的分量也软没了。,工作：柔顺行事得小成，利有所往守分寸｜家庭：谦和相处家事顺，节制不铺张｜出行：利有攸往宜前行，量力守度｜财富：小有进益守正道，节俭积累｜交友：利见大人得提携，谦恭结交｜学业：虚心受教稳进步，张弛有节｜健康：起居有节身自安，勿过劳｜诉讼：占小顺宜求和，节制勿过争
679886,0,011000,升,110001,损,本卦为主：【本卦升·卦辞】升，元亨，用见大人，勿恤，南征吉｜参【之卦损·卦辞】损，有孚，元吉，无咎，可贞，利有攸往。曷(hé，何)之用？二簋可用享,取所动中爻：【本卦升·三爻辞】九三：升虚邑,升变损，初三上三爻动，朱子断三爻变以本卦卦辞为主、参之卦。'升，元亨，用见大人，勿恤，南征吉'——升者积渐而上、自下升高，大善而亨，宜往见大人、不必忧恤，向明前进则吉。占得此卦：宜循序渐进、积厚而发，亲贤求进、勇往不疑则前程通达；再参之卦'损，有孚，元吉，无咎，可贞，利有攸往，二簋可用享'，上进之时当知减损己私，以诚自约、薄物可祭，损之得当则大吉而利往。,三爻动，南师取所动的中间那一爻——升卦九三'升虚邑'。往上走，进了一座空荡荡的城，畅行无阻。南师说这是一段难得的顺境，前面没人拦、没坎挡，做事正当口。可他也提醒：空城太顺，别光顾着高兴往里冲。顺的时候人最容易飘、最容易大意。脚下踩实了再迈步，顺中带几分谨慎，这股上升的劲头才走得长远，福气才留得住。,工作：上进途中舍小利，诚意付出得大益｜家庭：为家计适当割舍，同心则吉｜出行：利有所往可远行，轻装则顺｜财富：先舍后得守诚信，减耗反增益｜交友：真心相助勿计较，患难见情｜学业：舍浮华攻实学，专精有成｜健康：减嗜欲清负担，养生得宜｜诉讼：让一步得大局，诚和无咎
679887,0,011001,蛊,110001,损,以上爻为主：【本卦蛊·三爻辞】九三：干父之蛊，小有悔，无大咎｜参【初爻辞】初六：干父之蛊，有子，考无咎，厉终吉,取阴爻（主未来）：【本卦蛊·初爻辞】初六：干父之蛊，有子，考无咎，厉终吉,蛊变损，初三两爻动，朱子断二爻变以上爻为主、参下爻。九三'干父之蛊，小有悔，无大咎'——治父辈所遗之积弊，整饬之时手段稍刚，故小有悔恨，然志在拨乱，终无大过。占得此卦：宜勇于任事、革除旧弊，虽难免些许懊悔与人言，守正而行则无大咎；再参初六'干父之蛊，有子，考无咎，厉终吉'，有贤子继志补过，先人可免咎责，虽涉危厉，终得吉善。,两爻动，南师取那个阴爻管未来——蛊卦初六'干父之蛊，有子，考无咎，厉终吉'。父辈留下的烂摊子，幸好有个能干的儿子接手收拾，老人家也就没了过失，虽然过程里有点凶险，结局是好的。南师讲这就是'子承父业、补过救偏'的道理：上一辈难免有疏漏，关键看下一代肯不肯扛、能不能扛。肯认真把旧账理清的，再难也熬得出头，最后是'终吉'。,工作：整治旧弊小有悔，有后继承担无大碍｜家庭：料理祖辈遗留事，有担当终得吉｜出行：出行防小波折，稳妥无大碍｜财富：清理旧债略有耗，长远无忧｜交友：接手旧关系需担当，以诚续之｜学业：补前人未竟之学，坚持终成｜健康：调理旧疾略费力，坚持见效｜诉讼：处理旧纠纷小悔，守正终吉
679888,0,011000,升,110000,临,以上爻为主：【本卦升·三爻辞】九三：升虚邑｜参【初爻辞】初六：允升，大吉,取阴爻（主未来）：【本卦升·初爻辞】初六：允升，大吉,升变临，初三两爻动，朱子断二爻变以上爻为主、参初爻。'升虚邑'——往一座空城里登进，前路无人阻拦，一片坦途。占得此卦：正当上进之时，宜趁势而行、勇于开拓，则升迁顺遂、了无窒碍；再参初六'允升，大吉'，得人信任、随众而上，刚柔相济，进取自然吉庆。,两爻动，南师取所动里那个阴爻——升卦初六'允升，大吉'。'允'就是被信得过、被认可。往上爬这件事，光自己想升没用，得底下的人服你、上头的人信你，大家点头你才升得稳。所以别急着钻营，先把人缘和口碑做扎实；信用立住了，水到渠成，一升就是大吉。,工作：诚信上进大吉利，把握良机大展手｜家庭：家运上扬齐心兴，喜气盈门｜出行：利往诸事顺，逢机得进｜财富：正财大进有厚益，乘势广开源｜交友：得众望相扶持，以诚聚人｜学业：奋进有成登高第，一鼓作气｜健康：精神旺盛气血足，防过劳｜诉讼：占理占势得上风，秉正必胜
679889,0,011001,蛊,110000,临,本卦为主：【本卦蛊·卦辞】蛊，元亨，利涉大川。先甲三日，后甲三日｜参【之卦临·卦辞】临，元亨利贞，至于八月有凶,取所动中爻：【本卦蛊·三爻辞】九三：干父之蛊，小有悔，无大咎,蛊变临，初三上动，朱子断三爻变以本卦卦辞为主、参之卦。'蛊，元亨，利涉大川'——积弊已久正待整治，肯下手革除反而大通，可涉险济难；'先甲后甲'者，事前筹谋、事后省察。占得此卦：面对积弊宜果断治理、首尾审慎，则大事可成；再参之卦临'元亨利贞'，循正而行，惟须防盛极而衰。,三爻动，南师取所动的中间一爻——蛊卦九三'干父之蛊，小有悔，无大咎'。'干'是去整治，'蛊'是上一辈留下的烂摊子。接手老人留下的积弊家业，下手稍重难免有点小后悔，可只要方向对，终究没大毛病。做人做事就这样：收拾旧账免不了得罪人、留点遗憾，别怕，认真整顿，大局无碍。,工作：整顿有成局面开，盛时须防后患｜家庭：家事理顺渐兴旺，居安思危｜出行：利涉大川宜远行，谋定而动｜财富：清弊得利有起色，防日后生变｜交友：广结善缘得助力，慎防久疏｜学业：攻坚有成步步高，勿骄自满｜健康：调理见好防复发，持续养护｜诉讼：占理可进得利，见好收莫恋战
679896,0,011010,井,110001,损,以下爻为主：【之卦损·二爻辞】九二：利贞，征凶，弗损益之｜参【四爻辞】六四：损其疾，使遄有喜，无咎,取下静爻：【本卦井·二爻辞】九二：井谷射鲋(fù，小鱼)，瓮敝漏,井变损，初三五上四爻动，朱子断四爻变取之卦两不变爻、以下爻为主、参上一爻。损九二'利贞，征凶，弗损益之'——守正则利，妄动则凶，不必勉强自损去益人。占得此卦：宜安守本分、固持正道，不轻举妄动，则可免凶；再参六四'损其疾，使遄有喜，无咎'，及早除去自身毛病，速改则有喜、终无咎。,四爻动，南师取本卦下方那个静爻——井卦九二'井谷射鲋，瓮敝漏'。井底只剩条小鱼可射，打水的瓮还破了直漏水。意思是：好好一口井荒废了、漏掉了，本事和资源就这么白白流失。做人最怕这个——有才不用、有水留不住。提醒你：赶紧把破瓮补上，别让自己的能耐和机会一点点漏光。,工作：才用不当如井漏，守正勿贪妄进凶｜家庭：家用易耗宜节制，堵漏守成｜出行：远行防损耗，非必要勿动｜财富：井谷射鲋徒耗损，守正减支勿冒投｜交友：交浅勿深托，防所托非人｜学业：精力易散须收敛，专一勿旁骛｜健康：防漏耗虚损，节欲养精｜诉讼：强争则凶，守正弗益反安
679897,0,011011,巽,110001,损,本卦为主：【本卦巽·卦辞】巽，小亨，利有攸往，利见大人｜参【之卦损·卦辞】损，有孚，元吉，无咎，可贞，利有攸往。曷(hé，何)之用？二簋可用享,取所动中爻：【本卦巽·三爻辞】九三：频巽，吝,巽变损，初三五动，朱子断三爻变以本卦卦辞为主、参之卦。'巽，小亨，利有攸往，利见大人'——巽为顺为入，柔顺谦逊故小有亨通，宜有所往、宜见大人借力。占得此卦：宜以谦顺之道行事、依附贤明，则诸事渐通；再参之卦损'有孚元吉，二簋可用享'，心存诚信、虽薄礼亦可通神，损己从俭反得元吉。,三爻动，南师取中间那一爻——巽卦九三'频巽，吝'。'频'就是皱着眉头、勉勉强强地顺。一次次违心地低头服软，脸上挂不住、心里也憋屈，这就有点难堪了。南师说：顺，要顺得心甘情愿才好；若是三番五次硬着头皮假谦虚，迟早露馅、招人看轻。该有的骨气还得有，别把'顺'做成了窝囊。,工作：柔顺行事得小成，舍小利利有所往｜家庭：谦和相处肯付出，同心得吉｜出行：利有攸往宜前行，轻简则顺｜财富：小损换大益守诚，见大人得助｜交友：利见大人得提携，真心相与｜学业：舍浮求实虚心学，专精有成｜健康：减负担清嗜欲，调养得宜｜诉讼：让步求和有诚意，元吉无咎
679898,0,011010,井,110000,临,本卦为主：【本卦井·卦辞】井，改邑不改井，无丧无得，往来井井。汔(qì，尽)至，亦未繘(jú，汲)井，羸其瓶，凶｜参【之卦临·卦辞】临，元亨利贞，至于八月有凶,取所动中爻：【本卦井·三爻辞】九三：井渫(xiè，清)不食，为我心恻，可以汲。王明，并受其福,井变临，初三五动，朱子断三爻变以本卦卦辞为主、参之卦。'井改邑不改井，无丧无得，往来井井'——井德常在、养人不竭；惟'汔至未繘，羸其瓶，凶'，将成而败、瓶破汲空则有凶。占得此卦：宜守恒德、善始善终，不可功亏一篑；再参之卦临'元亨利贞'，惟须防'八月有凶'，盛时当存戒心。,三爻动，南师取中间一爻——井卦九三'井渫不食，为我心恻，可以汲。王明，并受其福'。井淘干净了水却没人来喝，叫人心里发酸。可这水明明能喝啊——只要遇上明白人、肯赏识你，大家一同沾光受福。说的就是怀才不遇：你已经把自己修好了，缺的是被看见。别灰心，等对的人，福气是共享的。,工作：才具虽备防功败，谨慎守成防险象｜家庭：家道有隐忧宜守护，勿掉以轻心｜出行：行前防器损意外，不宜冒进｜财富：源虽有防瓶羸之凶，守成防漏｜交友：真诚可识防久疏，慎交深托｜学业：底子在防半途废，坚持到底｜健康：留意隐疾勿轻忽，及早调养｜诉讼：占理防反复，守正谨慎防生变
679899,0,011011,巽,110000,临,以下爻为主：【之卦临·二爻辞】九二：咸临，吉，无不利｜参【四爻辞】六四：至临，无咎,取下静爻：【本卦巽·二爻辞】九二：巽在床下，用史巫纷若，吉，无咎,巽变临，初三五上四爻动，朱子断四爻变取之卦两不变爻、以下爻为主、参上一爻。临九二'咸临，吉，无不利'——以感格之诚临下，上下相应，吉而无所不利。占得此卦：宜以诚意感人、居上抚下，则诸事皆吉；再参六四'至临，无咎'，亲身躬临、切近事务，处事得当，自然无咎。,四爻动，南师取本卦下方静爻——巽卦九二'巽在床下，用史巫纷若，吉，无咎'。谦卑到趴在床底下，再请来一堆祝祷的人忙活——姿态低到了家。南师说：有时候做人就得肯把身段放到最低，诚心诚意去求、去通融，看着窝囊，其实是化解的本事。能屈得下来，反而吉、没毛病。该低头时别端着。,工作：谦顺入事得机遇，低姿态终获认可｜家庭：柔和相处莫逞强，谦让化和睦｜出行：随顺而往可行，戒躁进无碍｜财富：稳妥经营渐有得，勿贪冒进｜交友：以谦诚待人，久处得贵助｜学业：虚心求教勤钻研，稳步向上｜健康：心气平和调养，忌思虑过重｜诉讼：低姿态和解为上，守正终无咎
679966,0,011100,恒,110011,中孚,【之卦中孚·二爻辞】九二：鸣鹤在阴，其子和之，我有好爵，吾与尔靡(mí，共享)之,取静爻：【本卦恒·二爻辞】九二：悔亡,恒变中孚，五爻动、唯二爻不变，朱子断五爻变取之卦那条不变爻。中孚九二'鸣鹤在阴，其子和之，我有好爵，吾与尔靡之'——鹤鸣于幽处，子鹤应和，诚信相感、同享好爵。占得此卦：宜以至诚待人、声气相求，则同道相应、福禄共享；中正之诚发于内，自然远者来归、不令而和。,五爻动，南师取那个没动的静爻——恒卦九二'悔亡'。就俩字，却最难得：把原本会有的悔恨给消掉了。恒卦讲的是'长久'，做事能持之以恒、守住中道，原来该后悔的坎也就过去了。南师常说，世上多少事坏在'三分钟热度'。你只要稳住、别半途而废，慢慢熬，悔恨自然烟消云散。,工作：诚信共事同心力，好处大家分则久｜家庭：真心相待暗中助，和睦自然长｜出行：结伴同行有照应，平稳可往｜财富：以信取利懂共享，细水久长｜交友：意气相投互唱和，交心得挚友｜学业：切磋共进不藏私，稳步有成｜健康：心平气和守常态，安稳无忧｜诉讼：以诚化怨少争锋，和解为上
679967,0,011101,鼎,110011,中孚,以下爻为主：【之卦中孚·二爻辞】九二：鸣鹤在阴，其子和之，我有好爵，吾与尔靡(mí，共享)之｜参【上爻辞】上九：翰音登于天，贞凶,取下静爻：【本卦鼎·二爻辞】九二：鼎有实，我仇有疾，不我能即，吉,鼎变中孚，初三四五四爻动，朱子断四爻变取之卦两不变爻、以下爻为主、参上一爻。中孚九二'鸣鹤在阴，其子和之，我有好爵，吾与尔靡之'——诚信相感、同声相应，共享荣禄。占得此卦：宜守中持诚、广结同道，则气类相求、福庆共之；再参上九'翰音登于天，贞凶'，徒有虚声而无其实、华而不实，虽正亦凶，戒在务实。,四爻动，南师取本卦下方静爻——鼎卦九二'鼎有实，我仇有疾，不我能即，吉'。鼎里装得满满当当，是真有货。就算有对头眼红想找茬，他够不着你、奈何不了你，所以吉。南师的意思很实在：自己得有真本事、肚里有真东西，腰杆才硬。有实力，旁人嫉妒也白搭，稳稳的吉。,工作：实力已具守本分，防同行相争夺利｜家庭：家中丰实宜守护，防外扰生嫌隙｜出行：可稳步而行，防途中掣肘｜财富：财源充实莫外露，防人觊觎｜交友：择善而交防小人，防被搭便车｜学业：底子扎实勤精进，防旁扰分心｜健康：体实无大碍，防饮食积滞｜诉讼：占理宜守，防对方使绊终得吉
679968,0,011100,恒,110010,节,以下爻为主：【之卦节·二爻辞】九二：不出门庭，凶｜参【上爻辞】上六：苦节，贞凶，悔亡,取下静爻：【本卦恒·二爻辞】九二：悔亡,恒变节，初三四五四爻动，朱子断四爻变取之卦两不变爻、以下爻为主、参上一爻。节九二'不出门庭，凶'——当行不行、闭门自守、错失时机则有凶。占得此卦：节制虽美，亦须识时进退，宜该出手时果断而出，不可一味退缩，则免于凶；再参上六'苦节，贞凶，悔亡'，过苦之节难以久守，惟知改则悔可亡。,四爻动，南师取本卦下方静爻——恒卦九二'悔亡'。两个字，分量却重。这一卦旁边动得厉害，唯独这一爻稳住没动，反倒把后悔消掉了。南师讲：人在风浪里，最值钱的就是定力。周围都在变、都在乱，你能守住本心、按既定的道走下去，原本要栽的跟头也就避开了。守得住，悔自消。,工作：闭门自守待时机，冒进则凶宜克制｜家庭：宜守家安分，勿远出生变｜出行：不出门庭为安，远行有凶｜财富：守成节流勿妄动，苦守亦不宜｜交友：暂宜静守少应酬，勿强攀｜学业：闭门苦读要有度，过苦难持久｜健康：静养为主防郁结，勿过度自苦｜诉讼：不宜出面强争，守静待缓则安
679969,0,011101,鼎,110010,节,【之卦节·二爻辞】九二：不出门庭，凶,取静爻：【本卦鼎·二爻辞】九二：鼎有实，我仇有疾，不我能即，吉,鼎变节，五爻动、唯二爻不变，朱子断五爻变取之卦那条不变爻。节九二'不出门庭，凶'——闭门不出、当行不行、坐失良机则凶。占得此卦：节制固好，然时机当前不可一味退守，宜审时而动、该出则出，则可避凶；若畏缩不前、错过时窗，反招悔吝，戒在过于自闭。,五爻动，南师取那个没动的静爻——鼎卦九二'鼎有实，我仇有疾，不我能即，吉'。鼎里头是实打实的东西。对手就算憋着坏、想凑过来害你，他根本够不着，只能干瞪眼，所以吉。南师点得透：与其防小人，不如把自己做实。肚里有真东西、手上有真功夫，谁来挑事都近不了身，自然平安。,工作：家底充实却宜静守，出则凶莫强行｜家庭：守家安稳勿远离，防外事扰乱｜出行：闭门不出为吉，远行招凶｜财富：财实宜守莫外求，妄动有失｜交友：暂避应酬守本分，防人争利｜学业：底子好宜静心，勿分神外务｜健康：体实无妨但静养，防积食气滞｜诉讼：不宜出头强争，守静观变为安
679976,0,011110,大过,110011,中孚,以下爻为主：【之卦中孚·二爻辞】九二：鸣鹤在阴，其子和之，我有好爵，吾与尔靡(mí，共享)之｜参【五爻辞】九五：有孚挛(luán，牵系)如，无咎,取下静爻：【本卦大过·二爻辞】九二：枯杨生稊(tí，芽)，老夫得其女妻，无不利,大过变中孚，初三四上四爻动，朱子断四爻变取之卦两不变爻、以下爻为主、参上一爻。中孚九二'鸣鹤在阴，其子和之，我有好爵，吾与尔靡之'——诚信感通、同声相应、共享荣禄。占得此卦：宜以至诚立身、声气相求，则同道云集、福禄共之；再参九五'有孚挛如，无咎'，诚信牵系众心、上下相维，团结无间则无咎。,四爻动，南师取本卦下方静爻——大过卦九二'枯杨生稊，老夫得其女妻，无不利'。枯老的杨树又冒出嫩芽，老头子娶了个年轻媳妇，没什么不好。南师说这是'枯木逢春'的劲头：眼看走到头的局面，忽然来了新生机、新搭配，看着不般配，其实正合用。提醒你：别嫌组合奇怪，能让你重新焕发活力的，就是好缘分。,工作：担重任逢转机，老树逢春无不利｜家庭：老少相扶焕生机，情意牵系和｜出行：负重可往有所成，稳中前行｜财富：枯木逢春有起色，守信得利｜交友：新旧相和互牵系，患难见真情｜学业：厚积薄发再逢机，老来精进亦有成｜健康：老体见生机，调养得法可复元｜诉讼：以诚牵系可化解，守正无咎
679977,0,011111,姤,110011,中孚,本卦为主：【本卦姤·卦辞】姤，女壮，勿用取女｜参【之卦中孚·卦辞】中孚，豚鱼吉，利涉大川，利贞,取所动中爻：【本卦姤·三爻辞】九三：臀无肤，其行次且，厉，无大咎,姤变中孚，初三四动，朱子断三爻变以本卦卦辞为主、参之卦。'姤，女壮，勿用取女'——一阴初生于下而渐长，其势方壮，如女过强，不宜娶纳、不宜亲就。占得此卦：当戒微小邪佞之渐长，宜防患于初、不与不正者相结，则无后患；再参之卦中孚'豚鱼吉，利涉大川'，惟以诚信待人，虽微物亦可感、可济险。,三爻动，南师取中间一爻——姤卦九三'臀无肤，其行次且，厉，无大咎'。屁股磨破了皮，走起路来一瘸一拐、走走停停，挺危险，但还不至于闯大祸。南师说这是进退两难、坐立不安的处境：想往前疼得慌，想停又停不住。提醒你：眼下别硬撑猛进，放慢脚步、小心挪，熬过这段难受劲，大错就能躲开。,工作：局面暗伏隐患，遇强势女相勿深交合｜家庭：防意外相遇生变，克制勿妄动｜出行：诚信可涉大川，但防不速之遇｜财富：豚鱼小信可获吉，勿贪大攀强｜交友：慎交来势汹汹者，勿轻信合伙｜学业：以诚立信稳根基，防外诱分心｜健康：防突发不适，及早调理勿拖｜诉讼：勿主动结讼，以诚守正可涉险
679978,0,011110,大过,110010,节,本卦为主：【本卦大过·卦辞】大过，栋桡(náo，曲)，利有攸往，亨｜参【之卦节·卦辞】节，亨，苦节不可贞,取所动中爻：【本卦大过·三爻辞】九三：栋桡，凶,大过变节，初三四动，朱子断三爻变以本卦卦辞为主、参之卦。'大过，栋桡，利有攸往，亨'——阳刚过盛如栋梁压弯，事属非常、负荷过重；然处非常之时有所往则亨。占得此卦：身当大事、责任过重之际，宜补弱扶倾、有所作为，则可转危为通；再参之卦节'亨，苦节不可贞'，凡事须有节度，惟过苦之节不可固守。,三爻动，南师取中间一爻——大过卦九三'栋桡，凶'。顶梁的大柱子被压弯了，凶。南师讲得直白：一根独木硬扛过重的担子，迟早要断。这是逞强、不自量力的写照——什么都揽在自己身上，又听不进劝，结果把自己压垮。提醒你：担子太重时学会卸力、找帮手、加根撑，别一个人死扛到栋梁断裂。,工作：负荷过重栋梁将曲，利有攸往但须固本｜家庭：家担沉重宜分摊，防独木难支｜出行：利有所往但防险，量力而行｜财富：负担偏重宜节制，苦守不可久贞｜交友：勿独扛重担，寻援分忧｜学业：压力过大易折，稳扎缓进方亨｜健康：过劳则栋桡有凶，务必减负休养｜诉讼：势重难持宜和解，苦争不利
679979,0,011111,姤,110010,节,以下爻为主：【之卦节·二爻辞】九二：不出门庭，凶｜参【五爻辞】九五：甘节，吉，往有尚,取下静爻：【本卦姤·二爻辞】九二：包有鱼，无咎，不利宾,姤变节，初三四上四爻动，朱子断四爻变取之卦两不变爻、以下爻为主、参上一爻。节九二'不出门庭，凶'——当行不行、闭门退守、坐失其时则凶。占得此卦：节制虽善，亦须识时而动，该出则出、不可一味退缩，则可免凶；再参九五'甘节，吉，往有尚'，节之合宜、甘心自然，则吉而有功，前往可嘉。,四爻动，南师取本卦下方静爻——姤卦九二'包有鱼，无咎，不利宾'。厨房里包着条鱼，自家留着用没毛病，可不宜拿去待客分人。南师说这是'有好东西要懂得守住'：手里的资源、机缘，自己掌好就行，别四处张扬、分给不相干的人。提醒你：该藏的别露、该自留的别外送，守得住，才无咎。,工作：暗藏隐患行不畅，闭门守分待甘节之时｜家庭：包容守家防裂痕，勿远出生嫌｜出行：不出门庭为安，妄行则凶｜财富：守成有度则吉，妄取不利宾｜交友：宜守本分少外交，防人争利｜学业：闭门自守勤精进，苦守有度则成｜健康：静养节制得安康，勿过劳｜诉讼：不宜出头强争，甘于节制往有嘉
679986,0,011100,恒,110001,损,以下爻为主：【之卦损·二爻辞】九二：利贞，征凶，弗损益之｜参【五爻辞】六五：或益之十朋之龟，弗克违，元吉,取下静爻：【本卦恒·二爻辞】九二：悔亡,恒变损，初三四上四爻动，朱子断四爻变取之卦两不变爻、以下爻为主、参上一爻。损九二'利贞，征凶，弗损益之'——守正则利、躁进则凶，不必折损自己去益人。占得此卦：宜固守正道、安静自持，不妄动、不勉强施与，则得利免凶；再参六五'或益之十朋之龟，弗克违，元吉'，诚至则受厚益、众望所归，大善而吉。,四爻动，南师取本卦下方静爻——恒卦九二'悔亡'。还是这两个字，落在恒卦上格外有味道。'恒'是恒心，'悔亡'是回报。南师爱举学手艺、练功夫的例子：起步那阵谁都想放弃、都怕走错，可你咬牙坚持下来，当初那些懊恼全没了。做人做事，肯熬、肯守，时间会替你把悔恨抹平。,工作：守持正道勿贸进，减损有度自获益｜家庭：安分守恒勿折腾，减负则家和｜出行：宜正守缓行，征进则凶｜财富：守正勿冒进，节流反受益｜交友：诚交老友损己益人，得众助｜学业：稳扎守常勿求速，减负专攻则进｜健康：静养守恒勿妄动，减负得康｜诉讼：守正勿强争，退让反获益
679987,0,011101,鼎,110001,损,本卦为主：【本卦鼎·卦辞】鼎，元吉，亨｜参【之卦损·卦辞】损，有孚，元吉，无咎，可贞，利有攸往。曷(hé，何)之用？二簋可用享,取所动中爻：【本卦鼎·三爻辞】九三：鼎耳革，其行塞，雉膏不食，方雨亏悔，终吉,鼎变损，初三四皆动，朱子断三爻变以本卦卦辞为主、参之卦。'鼎，元吉，亨'——鼎是烹饪养贤之器，端正持重而通达，故得大吉、亨通。占得此卦：身处革故鼎新、调和众力之时，宜守正持重、虚心纳贤，则事业稳成、上下亨顺；再参之卦'损，有孚，元吉，无咎，可贞，利有攸往。二簋可用享'，告诫所成虽丰，仍当怀诚减损、不务奢华，俭以将诚，方能元吉而久。,三爻动，南师取所动中间那一爻——鼎卦九三'鼎耳革，其行塞，雉膏不食，方雨亏悔，终吉'。鼎耳坏了换新，一时抬不动、走不动，连锅里的好肉都吃不上，急得人窝火。可南师说，别慌：'方雨亏悔，终吉'——等那场雨一下，闷气消了，事情自然转好。做人做事也一样，正卡壳的时候最难熬，硬撑没用，沉住气把该修的修好，时候一到自然顺，结局是好的。,工作：革故鼎新大吉亨，减损有度成大事｜家庭：家道兴旺宜守正，减繁就简则和｜出行：利有攸往行则通，稳中求进｜财富：财运亨通元吉，去繁存精得利｜交友：以诚相交得元吉，简朴见真情｜学业：厚积焕新有大成，去浮务实｜健康：调养得法体康健，减负防积滞｜诉讼：占理元吉，退让化繁则无咎
679988,0,011100,恒,110000,临,本卦为主：【本卦恒·卦辞】恒，亨，无咎，利贞，利有攸往｜参【之卦临·卦辞】临，元亨利贞，至于八月有凶,取所动中爻：【本卦恒·三爻辞】九三：不恒其德，或承之羞，贞吝,恒变临，初三四皆动，朱子以本卦卦辞为主、参之卦。'恒，亨，无咎，利贞，利有攸往'——恒是长久之道，能守常持久故亨通无咎，然必以守正为本，方利于有所前往。占得此卦：凡事贵在持之以恒、循正而行，则通达无咎、可图远计；再参之卦'临，元亨利贞，至于八月有凶'，提醒盛大临事虽大亨，亦须居安思危，盛极防衰，守正以备日后之变。,三爻动，南师取所动中间那一爻——恒卦九三'不恒其德，或承之羞，贞吝'。这话最戳人：一个人三天打鱼两天晒网，德行守不住、说话不算数，迟早要当众丢脸、自取其辱。南师常讲，做人最怕没长性，今天一个主意明天一个样，旁人就再不敢信你。眼下提醒你：认准的事就一以贯之，别朝令夕改；守不住恒心，再有本事也要栽跟头。,工作：守常持久终亨通，无咎利往贵有恒｜家庭：夫妻持家贵恒久，和睦利贞｜出行：利有攸往行顺遂，守常则通｜财富：细水长流守正道，恒久得利｜交友：久处见真情，贵在始终如一｜学业：持之以恒终有成，忌半途而废｜健康：作息有常保安康，贵在坚持｜诉讼：守正持恒可无咎，勿反复生变
679989,0,011101,鼎,110000,临,以下爻为主：【之卦临·二爻辞】九二：咸临，吉，无不利｜参【五爻辞】六五：知临，大君之宜，吉,取下静爻：【本卦鼎·二爻辞】九二：鼎有实，我仇有疾，不我能即，吉,鼎变临，初三四上四爻动，朱子断四爻变取之卦两不变爻、以下爻为主。临卦九二'咸临，吉，无不利'——以诚感通而临事，上下相应，故吉而无所不利。占得此卦：当居要任、统御众人之时，宜以至诚相感、不恃威权，则人心归附、行事皆吉；再参五爻'六五：知临，大君之宜，吉'，告诫居上位者更须以明智宽容驭下，刚柔相济，方为大君之宜。,四爻动，南师取本卦下方那个静爻——鼎卦九二'鼎有实，我仇有疾，不我能即，吉'。鼎里装满了实在东西，是有真才实料的象。南师说，你肚里有货、手上有本事，就算有人眼红想为难你，也近不了身、动不了你分毫，吉。做人就得这样：与其去防小人，不如把自己练扎实。实力到位，那些挑刺找茬的自然奈何不了你，安安稳稳就把事办成了。,工作：革新逢感应之机，谦下相临吉无不利｜家庭：以柔感通得和睦，相待无往不利｜出行：可往有应，稳中前行｜财富：顺势相取得吉，勿贪强求｜交友：以诚感人得响应，交往和洽｜学业：虚心请益逢良机，进步顺遂｜健康：顺应调养得安康，无碍｜诉讼：以柔化刚易和解，守正获吉
